
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  3 ncall:4.0e+02 eff:0.2% logz=-606.36+/-0.13 dlogz:inf>0.1]
9it [00:00, 57.70it/s, bound:0 nc:  7 ncall:4.2e+02 eff:2.1% logz=-264.02+/-0.13 dlogz:310.361>0.1]
18it [00:00, 58.47it/s, bound:0 nc:  3 ncall:4.4e+02 eff:4.1% logz=-173.73+/-0.13 dlogz:221.812>0.1]
25it [00:00, 54.44it/s, bound:0 nc:  2 ncall:4.6e+02 eff:5.4% logz=-159.12+/-0.12 dlogz:200.355>0.1]
34it [00:00, 60.39it/s, bound:0 nc:  4 ncall:4.8e+02 eff:7.1% logz=-136.69+/-0.11 dlogz:177.377>0.1]
40it [00:01, 56.34it/s, bound:0 nc:  1 ncall:5.0e+02 eff:8.0% logz=-128.85+/-0.12 dlogz:170.006>0.1]
55it [00:01, 63.85it/s, bound:0 nc:  3 ncall:5.4e+02 eff:10.1% logz=-105.67+/-0.12 dlogz:146.728>0.1]
72it [00:01, 71.92it/s, bound:0 nc:  1 ncall:5.8e+02 eff:12.4% logz=-92.45+/-0.11 dlogz:133.325>0.1] 
88it [00:01, 81.19it/s, bound:0 nc:  3 ncall:6.2e+02 eff:14.1% logz=-74.18+/-0.11 dlogz:114.851>0.1]
105it [00:01, 91.89it/s, bound:0 nc:  1 ncall:6.6e+02 eff:15.9% logz=-65.71+/-0.10 dlogz:106.281>0.1]
120it [00:01, 104.64it/s, bound:0 nc:  3 ncall:7.0e+02 eff:17.2% logz=-59.85+/-0.10 dlogz:100.217>0.1]
131it [00:02, 86.42it/s, bound:0 nc:  9 ncall:7.3e+02 eff:17.9% logz=-57.03+/-0.10 dlogz:97.439>0.1]  
141it [00:02, 74.40it/s, bound:0 nc: 10 ncall:7.7e+02 eff:18.3% logz=-52.30+/-0.10 dlogz:92.591>0.1]
150it [00:02, 74.92it/s, bound:0 nc:  1 ncall:7.8e+02 eff:19.1% logz=-50.41+/-0.10 dlogz:90.664>0.1]
158it [00:02, 75.29it/s, bound:0 nc:  3 ncall:8.1e+02 eff:19.6% logz=-48.74+/-0.10 dlogz:88.859>0.1]
172it [00:02, 78.02it/s, bound:0 nc:  3 ncall:8.4e+02 eff:20.4% logz=-46.21+/-0.10 dlogz:86.334>0.1]
184it [00:02, 69.44it/s, bound:0 nc:  2 ncall:8.8e+02 eff:20.9% logz=-42.82+/-0.10 dlogz:82.987>0.1]
200it [00:03, 71.33it/s, bound:0 nc:  6 ncall:9.2e+02 eff:21.7% logz=-39.40+/-0.10 dlogz:79.442>0.1]
215it [00:03, 75.16it/s, bound:0 nc: 11 ncall:9.7e+02 eff:22.2% logz=-36.11+/-0.10 dlogz:76.104>0.1]
229it [00:03, 73.43it/s, bound:0 nc:  3 ncall:1.0e+03 eff:22.8% logz=-33.03+/-0.10 dlogz:73.026>0.1]
242it [00:03, 73.49it/s, bound:0 nc:  6 ncall:1.0e+03 eff:23.2% logz=-30.41+/-0.10 dlogz:70.375>0.1]
253it [00:03, 70.68it/s, bound:0 nc:  2 ncall:1.1e+03 eff:23.4% logz=-27.84+/-0.10 dlogz:67.802>0.1]
269it [00:04, 78.07it/s, bound:0 nc:  6 ncall:1.1e+03 eff:23.9% logz=-25.74+/-0.09 dlogz:65.531>0.1]
279it [00:04, 72.77it/s, bound:0 nc:  5 ncall:1.2e+03 eff:24.0% logz=-24.75+/-0.09 dlogz:64.530>0.1]
288it [00:04, 66.39it/s, bound:0 nc:  7 ncall:1.2e+03 eff:23.9% logz=-23.69+/-0.09 dlogz:63.466>0.1]
295it [00:04, 59.18it/s, bound:0 nc:  4 ncall:1.2e+03 eff:23.6% logz=-22.86+/-0.09 dlogz:62.633>0.1]
308it [00:04, 64.41it/s, bound:0 nc:  8 ncall:1.3e+03 eff:24.0% logz=-21.15+/-0.10 dlogz:60.888>0.1]
320it [00:04, 70.49it/s, bound:0 nc: 20 ncall:1.3e+03 eff:24.0% logz=-19.82+/-0.09 dlogz:59.488>0.1]
328it [00:05, 57.85it/s, bound:0 nc:  7 ncall:1.4e+03 eff:23.6% logz=-19.11+/-0.09 dlogz:58.752>0.1]
337it [00:05, 59.40it/s, bound:0 nc:  4 ncall:1.4e+03 eff:23.7% logz=-18.28+/-0.09 dlogz:57.895>0.1]
344it [00:05, 58.93it/s, bound:0 nc:  2 ncall:1.5e+03 eff:23.4% logz=-17.53+/-0.09 dlogz:57.196>0.1]
352it [00:05, 55.61it/s, bound:0 nc:  4 ncall:1.5e+03 eff:23.4% logz=-16.38+/-0.10 dlogz:55.996>0.1]
358it [00:05, 56.02it/s, bound:0 nc:  2 ncall:1.5e+03 eff:23.2% logz=-15.82+/-0.10 dlogz:55.388>0.1]
364it [00:05, 52.60it/s, bound:0 nc: 11 ncall:1.6e+03 eff:22.9% logz=-15.23+/-0.10 dlogz:54.790>0.1]
372it [00:05, 50.61it/s, bound:0 nc:  6 ncall:1.6e+03 eff:22.9% logz=-14.58+/-0.09 dlogz:54.102>0.1]
384it [00:06, 59.32it/s, bound:0 nc:  4 ncall:1.7e+03 eff:23.1% logz=-13.82+/-0.09 dlogz:53.296>0.1]
392it [00:06, 57.01it/s, bound:0 nc:  2 ncall:1.7e+03 eff:23.0% logz=-13.34+/-0.09 dlogz:52.802>0.1]
400it [00:06, 57.41it/s, bound:0 nc:  6 ncall:1.7e+03 eff:23.0% logz=-12.86+/-0.09 dlogz:52.287>0.1]
406it [00:06, 50.79it/s, bound:0 nc:  2 ncall:1.8e+03 eff:22.7% logz=-12.46+/-0.09 dlogz:51.885>0.1]
412it [00:06, 46.72it/s, bound:0 nc:  1 ncall:1.8e+03 eff:22.5% logz=-12.11+/-0.09 dlogz:51.515>0.1]
419it [00:06, 50.34it/s, bound:0 nc:  1 ncall:1.9e+03 eff:22.5% logz=-11.75+/-0.09 dlogz:51.126>0.1]
427it [00:06, 52.35it/s, bound:0 nc: 20 ncall:1.9e+03 eff:22.3% logz=-11.32+/-0.09 dlogz:50.674>0.1]
435it [00:07, 54.61it/s, bound:0 nc:  2 ncall:1.9e+03 eff:22.4% logz=-10.85+/-0.09 dlogz:50.204>0.1]
442it [00:07, 53.92it/s, bound:0 nc:  2 ncall:2.0e+03 eff:22.3% logz=-10.41+/-0.09 dlogz:49.744>0.1]
449it [00:07, 55.14it/s, bound:0 nc:  8 ncall:2.0e+03 eff:22.2% logz=-9.97+/-0.09 dlogz:49.293>0.1] 
458it [00:07, 56.13it/s, bound:0 nc: 10 ncall:2.1e+03 eff:22.2% logz=-9.38+/-0.09 dlogz:48.677>0.1]
464it [00:07, 45.78it/s, bound:0 nc:  5 ncall:2.1e+03 eff:21.8% logz=-8.97+/-0.09 dlogz:48.246>0.1]
471it [00:07, 49.63it/s, bound:0 nc: 11 ncall:2.2e+03 eff:21.7% logz=-8.57+/-0.09 dlogz:47.822>0.1]
477it [00:07, 47.47it/s, bound:0 nc:  4 ncall:2.2e+03 eff:21.6% logz=-8.27+/-0.09 dlogz:47.499>0.1]
482it [00:08, 46.21it/s, bound:0 nc:  1 ncall:2.3e+03 eff:21.4% logz=-7.99+/-0.09 dlogz:47.220>0.1]
487it [00:08, 45.79it/s, bound:0 nc: 14 ncall:2.3e+03 eff:21.2% logz=-7.74+/-0.09 dlogz:46.952>0.1]
492it [00:08, 43.29it/s, bound:0 nc:  6 ncall:2.3e+03 eff:21.1% logz=-7.51+/-0.09 dlogz:46.703>0.1]
497it [00:08, 41.53it/s, bound:0 nc: 12 ncall:2.4e+03 eff:21.0% logz=-7.29+/-0.09 dlogz:46.467>0.1]
502it [00:08, 39.97it/s, bound:0 nc:  7 ncall:2.4e+03 eff:20.9% logz=-7.08+/-0.09 dlogz:46.247>0.1]
509it [00:08, 45.25it/s, bound:0 nc:  2 ncall:2.4e+03 eff:20.8% logz=-6.75+/-0.09 dlogz:45.906>0.1]
515it [00:08, 44.29it/s, bound:0 nc: 22 ncall:2.5e+03 eff:20.7% logz=-6.48+/-0.09 dlogz:45.611>0.1]
520it [00:08, 42.28it/s, bound:0 nc:  2 ncall:2.5e+03 eff:20.6% logz=-6.27+/-0.09 dlogz:45.391>0.1]
525it [00:09, 42.31it/s, bound:0 nc:  6 ncall:2.6e+03 eff:20.5% logz=-6.08+/-0.09 dlogz:45.181>0.1]
530it [00:09, 43.66it/s, bound:0 nc:  7 ncall:2.6e+03 eff:20.3% logz=-5.89+/-0.09 dlogz:44.983>0.1]
535it [00:09, 44.01it/s, bound:0 nc:  4 ncall:2.6e+03 eff:20.2% logz=-5.71+/-0.09 dlogz:44.790>0.1]
541it [00:09, 46.57it/s, bound:0 nc: 15 ncall:2.7e+03 eff:20.2% logz=-5.50+/-0.09 dlogz:44.560>0.1]
548it [00:09, 48.31it/s, bound:0 nc: 13 ncall:2.8e+03 eff:19.9% logz=-5.27+/-0.09 dlogz:44.309>0.1]
555it [00:09, 49.17it/s, bound:0 nc: 20 ncall:2.8e+03 eff:19.8% logz=-5.02+/-0.09 dlogz:44.046>0.1]
566it [00:09, 58.77it/s, bound:0 nc: 17 ncall:2.9e+03 eff:19.7% logz=-4.66+/-0.09 dlogz:43.655>0.1]
572it [00:09, 58.42it/s, bound:0 nc:  5 ncall:2.9e+03 eff:19.7% logz=-4.49+/-0.09 dlogz:43.464>0.1]
578it [00:10, 47.33it/s, bound:0 nc: 19 ncall:3.0e+03 eff:19.3% logz=-4.32+/-0.09 dlogz:43.282>0.1]
583it [00:10, 38.61it/s, bound:0 nc:  7 ncall:3.1e+03 eff:19.0% logz=-4.16+/-0.09 dlogz:43.115>0.1]
588it [00:10, 38.01it/s, bound:0 nc: 12 ncall:3.1e+03 eff:18.8% logz=-3.99+/-0.09 dlogz:42.934>0.1]
593it [00:10, 38.01it/s, bound:0 nc:  9 ncall:3.2e+03 eff:18.6% logz=-3.83+/-0.09 dlogz:42.756>0.1]
597it [00:10, 35.53it/s, bound:0 nc: 10 ncall:3.3e+03 eff:18.3% logz=-3.71+/-0.09 dlogz:42.623>0.1]
606it [00:10, 39.20it/s, bound:0 nc: 35 ncall:3.3e+03 eff:18.2% logz=-3.44+/-0.09 dlogz:42.337>0.1]
610it [00:11, 33.18it/s, bound:0 nc: 17 ncall:3.4e+03 eff:17.9% logz=-3.33+/-0.09 dlogz:42.210>0.1]
617it [00:11, 37.81it/s, bound:0 nc: 21 ncall:3.5e+03 eff:17.7% logz=-3.14+/-0.09 dlogz:41.999>0.1]
624it [00:11, 38.16it/s, bound:0 nc: 36 ncall:3.6e+03 eff:17.6% logz=-2.95+/-0.09 dlogz:41.794>0.1]
629it [00:11, 37.01it/s, bound:0 nc: 21 ncall:3.6e+03 eff:17.4% logz=-2.81+/-0.09 dlogz:41.647>0.1]
635it [00:11, 38.08it/s, bound:0 nc: 13 ncall:3.7e+03 eff:17.3% logz=-2.64+/-0.09 dlogz:41.458>0.1]
640it [00:11, 37.93it/s, bound:0 nc: 10 ncall:3.7e+03 eff:17.2% logz=-2.50+/-0.09 dlogz:41.306>0.1]
648it [00:11, 44.36it/s, bound:0 nc: 28 ncall:3.8e+03 eff:17.1% logz=-2.29+/-0.09 dlogz:41.073>0.1]
653it [00:12, 42.19it/s, bound:0 nc:  4 ncall:3.8e+03 eff:17.0% logz=-2.17+/-0.09 dlogz:40.940>0.1]
658it [00:12, 43.55it/s, bound:0 nc:  8 ncall:3.9e+03 eff:16.9% logz=-2.05+/-0.09 dlogz:40.809>0.1]
664it [00:12, 44.66it/s, bound:0 nc: 14 ncall:3.9e+03 eff:16.8% logz=-1.92+/-0.09 dlogz:40.658>0.1]
669it [00:12, 43.38it/s, bound:0 nc: 26 ncall:4.0e+03 eff:16.7% logz=-1.81+/-0.09 dlogz:40.534>0.1]
674it [00:12, 41.93it/s, bound:0 nc: 16 ncall:4.1e+03 eff:16.5% logz=-1.70+/-0.09 dlogz:40.413>0.1]
685it [00:12, 55.25it/s, bound:0 nc: 22 ncall:4.1e+03 eff:16.6% logz=-1.47+/-0.09 dlogz:40.154>0.1]
691it [00:12, 48.65it/s, bound:0 nc: 11 ncall:4.2e+03 eff:16.4% logz=-1.35+/-0.08 dlogz:40.018>0.1]
696it [00:13, 36.48it/s, bound:0 nc: 39 ncall:4.3e+03 eff:16.1% logz=-1.25+/-0.08 dlogz:39.908>0.1]
704it [00:13, 42.30it/s, bound:0 nc: 12 ncall:4.4e+03 eff:16.0% logz=-1.10+/-0.08 dlogz:39.734>0.1]
709it [00:13, 34.84it/s, bound:0 nc: 12 ncall:4.5e+03 eff:15.9% logz=-1.00+/-0.02 dlogz:39.621>0.1]
713it [00:13, 33.81it/s, bound:0 nc:  9 ncall:4.5e+03 eff:15.7% logz=-0.92+/-0.03 dlogz:39.532>0.1]
717it [00:13, 32.75it/s, bound:0 nc: 18 ncall:4.6e+03 eff:15.7% logz=-0.84+/-0.04 dlogz:39.442>0.1]
723it [00:13, 36.38it/s, bound:0 nc: 23 ncall:4.7e+03 eff:15.5% logz=-0.72+/-0.04 dlogz:39.307>0.1]
727it [00:13, 36.30it/s, bound:0 nc: 25 ncall:4.7e+03 eff:15.4% logz=-0.63+/-0.05 dlogz:39.216>0.1]
732it [00:14, 37.59it/s, bound:0 nc: 17 ncall:4.8e+03 eff:15.3% logz=-0.53+/-0.05 dlogz:39.099>0.1]
739it [00:14, 43.48it/s, bound:0 nc:  8 ncall:4.8e+03 eff:15.3% logz=-0.38+/-0.06 dlogz:38.935>0.1]
744it [00:14, 32.06it/s, bound:0 nc: 11 ncall:4.9e+03 eff:15.1% logz=-0.28+/-0.06 dlogz:38.815>0.1]
748it [00:14, 30.24it/s, bound:0 nc:  9 ncall:5.0e+03 eff:15.0% logz=-0.19+/-0.06 dlogz:38.719>0.1]
752it [00:14, 27.10it/s, bound:0 nc: 24 ncall:5.1e+03 eff:14.8% logz=-0.10+/-0.07 dlogz:38.620>0.1]
756it [00:14, 27.61it/s, bound:0 nc:  1 ncall:5.1e+03 eff:14.8% logz=-0.01+/-0.07 dlogz:38.521>0.1]
761it [00:15, 31.06it/s, bound:0 nc: 18 ncall:5.2e+03 eff:14.6% logz=0.10+/-0.07 dlogz:38.400>0.1] 
765it [00:15, 26.51it/s, bound:0 nc: 35 ncall:5.3e+03 eff:14.5% logz=0.18+/-0.07 dlogz:38.308>0.1]
