
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  4 ncall:4.0e+02 eff:0.2% logz=-263.27+/-0.13 dlogz:inf>0.1]
10it [00:00, 75.93it/s, bound:0 nc:  8 ncall:4.2e+02 eff:2.4% logz=-142.15+/-0.12 dlogz:184.014>0.1]
30it [00:00, 98.19it/s, bound:0 nc:  3 ncall:4.6e+02 eff:6.5% logz=-74.50+/-0.12 dlogz:116.649>0.1] 
40it [00:00, 84.21it/s, bound:0 nc:  2 ncall:4.8e+02 eff:8.3% logz=-68.08+/-0.11 dlogz:109.055>0.1]
49it [00:01, 55.66it/s, bound:0 nc:  6 ncall:5.0e+02 eff:9.7% logz=-59.68+/-0.10 dlogz:100.209>0.1]
56it [00:01, 41.81it/s, bound:0 nc:  3 ncall:5.2e+02 eff:10.7% logz=-58.11+/-0.10 dlogz:98.733>0.1]
64it [00:01, 39.30it/s, bound:0 nc:  6 ncall:5.4e+02 eff:11.7% logz=-52.30+/-0.11 dlogz:93.502>0.1]
70it [00:01, 34.75it/s, bound:0 nc:  1 ncall:5.6e+02 eff:12.5% logz=-49.37+/-0.10 dlogz:89.874>0.1]
81it [00:02, 43.80it/s, bound:0 nc:  5 ncall:5.8e+02 eff:13.9% logz=-42.01+/-0.11 dlogz:82.837>0.1]
90it [00:02, 46.97it/s, bound:0 nc:  1 ncall:6.0e+02 eff:15.0% logz=-38.09+/-0.10 dlogz:78.668>0.1]
99it [00:02, 50.36it/s, bound:0 nc:  3 ncall:6.2e+02 eff:15.9% logz=-33.41+/-0.10 dlogz:73.895>0.1]
105it [00:02, 43.97it/s, bound:0 nc:  2 ncall:6.4e+02 eff:16.4% logz=-31.42+/-0.10 dlogz:71.815>0.1]
114it [00:02, 46.68it/s, bound:0 nc:  4 ncall:6.6e+02 eff:17.2% logz=-26.35+/-0.11 dlogz:67.253>0.1]
120it [00:02, 42.56it/s, bound:0 nc:  6 ncall:6.8e+02 eff:17.5% logz=-22.95+/-0.11 dlogz:63.467>0.1]
128it [00:03, 44.32it/s, bound:0 nc:  6 ncall:7.0e+02 eff:18.2% logz=-20.39+/-0.10 dlogz:60.784>0.1]
134it [00:03, 36.09it/s, bound:0 nc:  5 ncall:7.2e+02 eff:18.6% logz=-18.40+/-0.10 dlogz:58.795>0.1]
144it [00:03, 42.22it/s, bound:0 nc:  4 ncall:7.4e+02 eff:19.4% logz=-15.49+/-0.10 dlogz:55.740>0.1]
149it [00:03, 40.26it/s, bound:0 nc:  3 ncall:7.6e+02 eff:19.6% logz=-14.37+/-0.10 dlogz:54.565>0.1]
155it [00:03, 39.70it/s, bound:0 nc:  4 ncall:7.8e+02 eff:19.8% logz=-12.47+/-0.10 dlogz:52.752>0.1]
163it [00:04, 38.45it/s, bound:0 nc:  3 ncall:8.0e+02 eff:20.3% logz=-10.14+/-0.10 dlogz:50.414>0.1]
172it [00:04, 43.24it/s, bound:0 nc:  5 ncall:8.2e+02 eff:20.9% logz=-7.73+/-0.10 dlogz:47.900>0.1] 
179it [00:04, 44.61it/s, bound:0 nc:  6 ncall:8.5e+02 eff:21.2% logz=-6.30+/-0.10 dlogz:46.391>0.1]
185it [00:04, 41.81it/s, bound:0 nc:  6 ncall:8.6e+02 eff:21.4% logz=-5.44+/-0.10 dlogz:45.490>0.1]
190it [00:04, 39.44it/s, bound:0 nc:  3 ncall:8.8e+02 eff:21.5% logz=-4.73+/-0.09 dlogz:44.787>0.1]
197it [00:04, 41.41it/s, bound:0 nc: 11 ncall:9.1e+02 eff:21.7% logz=-3.28+/-0.10 dlogz:43.369>0.1]
203it [00:04, 41.47it/s, bound:0 nc:  3 ncall:9.2e+02 eff:22.0% logz=-2.28+/-0.10 dlogz:42.322>0.1]
208it [00:05, 34.97it/s, bound:0 nc:  9 ncall:9.4e+02 eff:22.1% logz=-1.64+/-0.09 dlogz:41.608>0.1]
214it [00:05, 36.48it/s, bound:0 nc: 10 ncall:9.6e+02 eff:22.2% logz=-0.95+/-0.09 dlogz:40.911>0.1]
219it [00:05, 33.75it/s, bound:0 nc:  7 ncall:9.8e+02 eff:22.3% logz=-0.32+/-0.09 dlogz:40.278>0.1]
223it [00:05, 32.13it/s, bound:0 nc:  7 ncall:1.0e+03 eff:22.3% logz=0.32+/-0.09 dlogz:39.667>0.1] 
230it [00:05, 39.62it/s, bound:0 nc:  1 ncall:1.0e+03 eff:22.5% logz=1.53+/-0.10 dlogz:38.481>0.1]
237it [00:05, 44.07it/s, bound:0 nc:  5 ncall:1.0e+03 eff:22.7% logz=3.08+/-0.10 dlogz:36.934>0.1]
244it [00:06, 47.39it/s, bound:0 nc: 12 ncall:1.1e+03 eff:23.0% logz=4.49+/-0.10 dlogz:35.463>0.1]
