
0it [00:00, ?it/s]
1it [17:38, 1058.97s/it, bound:0 nc:  6 ncall:4.1e+02 eff:0.2% logz=-512.29+/-0.18 dlogz:inf>0.1]
3it [17:40, 275.10s/it, bound:0 nc: 14 ncall:4.2e+02 eff:0.7% logz=-235.25+/-0.18 dlogz:450.336>0.1]
5it [17:41, 133.91s/it, bound:0 nc:  9 ncall:4.3e+02 eff:1.2% logz=-168.14+/-0.18 dlogz:258.576>0.1]
6it [17:41, 98.07s/it, bound:0 nc:  2 ncall:4.4e+02 eff:1.4% logz=-166.34+/-0.17 dlogz:232.414>0.1] 
7it [17:43, 71.35s/it, bound:0 nc: 22 ncall:4.6e+02 eff:1.5% logz=-141.64+/-0.18 dlogz:230.614>0.1]
9it [17:44, 39.90s/it, bound:0 nc:  1 ncall:4.6e+02 eff:2.0% logz=-127.84+/-0.18 dlogz:200.808>0.1]
10it [17:44, 30.43s/it, bound:0 nc:  6 ncall:4.7e+02 eff:2.1% logz=-123.07+/-0.18 dlogz:192.099>0.1]
11it [17:45, 23.00s/it, bound:0 nc: 17 ncall:4.8e+02 eff:2.3% logz=-104.15+/-0.18 dlogz:187.330>0.1]
12it [17:46, 16.98s/it, bound:0 nc:  2 ncall:4.9e+02 eff:2.5% logz=-99.80+/-0.18 dlogz:168.410>0.1] 
13it [17:47, 12.66s/it, bound:0 nc: 19 ncall:5.0e+02 eff:2.6% logz=-94.26+/-0.18 dlogz:164.051>0.1]
14it [17:48,  9.21s/it, bound:0 nc:  3 ncall:5.1e+02 eff:2.8% logz=-92.88+/-0.17 dlogz:158.509>0.1]
15it [17:48,  6.69s/it, bound:0 nc:  7 ncall:5.2e+02 eff:2.9% logz=-87.88+/-0.18 dlogz:157.127>0.1]
16it [17:51,  5.53s/it, bound:0 nc: 26 ncall:5.4e+02 eff:3.0% logz=-81.65+/-0.18 dlogz:152.122>0.1]
18it [17:51,  3.13s/it, bound:0 nc:  2 ncall:5.5e+02 eff:3.3% logz=-70.79+/-0.17 dlogz:137.058>0.1]
19it [17:52,  2.47s/it, bound:0 nc:  8 ncall:5.6e+02 eff:3.4% logz=-68.12+/-0.18 dlogz:135.029>0.1]
20it [17:53,  2.05s/it, bound:0 nc:  6 ncall:5.6e+02 eff:3.6% logz=-65.35+/-0.18 dlogz:132.354>0.1]
