
0it [00:00, ?it/s]
1it [00:48, 48.05s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-7400.31+/-0.18 dlogz:inf>0.1]
5it [00:48,  7.19s/it, bound:0 nc:  5 ncall:4.2e+02 eff:1.2% logz=-438.82+/-0.18 dlogz:598.091>0.1]
8it [00:48,  3.79s/it, bound:0 nc:  8 ncall:4.3e+02 eff:1.9% logz=-259.33+/-0.18 dlogz:344.470>0.1]
10it [00:48,  2.63s/it, bound:0 nc:  6 ncall:4.4e+02 eff:2.3% logz=-250.62+/-0.18 dlogz:322.928>0.1]
14it [00:48,  1.41s/it, bound:0 nc:  8 ncall:4.5e+02 eff:3.1% logz=-186.01+/-0.17 dlogz:252.160>0.1]
17it [00:48,  1.05it/s, bound:0 nc:  1 ncall:4.6e+02 eff:3.7% logz=-168.84+/-0.18 dlogz:243.717>0.1]
20it [00:49,  1.51it/s, bound:0 nc:  1 ncall:4.8e+02 eff:4.2% logz=-162.61+/-0.18 dlogz:230.408>0.1]
22it [00:49,  1.84it/s, bound:0 nc: 14 ncall:5.0e+02 eff:4.4% logz=-151.03+/-0.18 dlogz:223.339>0.1]
26it [00:49,  2.93it/s, bound:0 nc:  2 ncall:5.1e+02 eff:5.1% logz=-121.83+/-0.18 dlogz:197.583>0.1]
29it [00:49,  4.02it/s, bound:0 nc:  3 ncall:5.2e+02 eff:5.6% logz=-106.78+/-0.18 dlogz:174.773>0.1]
32it [00:49,  4.96it/s, bound:0 nc:  8 ncall:5.4e+02 eff:6.0% logz=-101.79+/-0.17 dlogz:168.509>0.1]
34it [00:50,  5.21it/s, bound:0 nc: 20 ncall:5.6e+02 eff:6.0% logz=-95.57+/-0.17 dlogz:162.044>0.1] 
36it [00:50,  6.30it/s, bound:0 nc:  2 ncall:5.7e+02 eff:6.3% logz=-93.86+/-0.16 dlogz:159.501>0.1]
39it [00:50,  8.54it/s, bound:0 nc:  4 ncall:5.8e+02 eff:6.7% logz=-90.36+/-0.16 dlogz:156.045>0.1]
41it [00:50,  9.85it/s, bound:0 nc:  6 ncall:5.9e+02 eff:7.0% logz=-85.72+/-0.18 dlogz:153.529>0.1]
43it [00:50, 11.21it/s, bound:0 nc:  7 ncall:6.0e+02 eff:7.2% logz=-83.22+/-0.17 dlogz:149.308>0.1]
46it [00:50, 13.08it/s, bound:0 nc:  5 ncall:6.0e+02 eff:7.6% logz=-80.83+/-0.16 dlogz:146.183>0.1]
48it [00:51, 11.30it/s, bound:0 nc: 11 ncall:6.2e+02 eff:7.7% logz=-80.09+/-0.15 dlogz:145.217>0.1]
51it [00:51, 14.16it/s, bound:0 nc:  5 ncall:6.3e+02 eff:8.1% logz=-77.72+/-0.16 dlogz:143.228>0.1]
54it [00:51, 17.01it/s, bound:0 nc:  4 ncall:6.4e+02 eff:8.4% logz=-75.12+/-0.16 dlogz:140.531>0.1]
57it [00:51, 17.36it/s, bound:0 nc:  3 ncall:6.5e+02 eff:8.8% logz=-70.87+/-0.18 dlogz:138.172>0.1]
61it [00:51, 19.56it/s, bound:0 nc:  5 ncall:6.6e+02 eff:9.2% logz=-64.81+/-0.16 dlogz:130.538>0.1]
64it [00:52, 11.95it/s, bound:0 nc: 10 ncall:7.0e+02 eff:9.2% logz=-62.97+/-0.16 dlogz:128.566>0.1]
69it [00:52, 16.10it/s, bound:0 nc:  2 ncall:7.1e+02 eff:9.7% logz=-57.91+/-0.16 dlogz:123.611>0.1]
72it [00:52, 16.93it/s, bound:0 nc:  9 ncall:7.2e+02 eff:10.0% logz=-54.17+/-0.16 dlogz:119.878>0.1]
75it [00:52, 16.10it/s, bound:0 nc:  6 ncall:7.4e+02 eff:10.2% logz=-48.08+/-0.18 dlogz:115.727>0.1]
78it [00:52, 16.77it/s, bound:0 nc:  6 ncall:7.5e+02 eff:10.4% logz=-45.29+/-0.16 dlogz:110.803>0.1]
81it [00:52, 19.11it/s, bound:0 nc:  2 ncall:7.6e+02 eff:10.7% logz=-43.55+/-0.15 dlogz:108.803>0.1]
84it [00:53, 12.49it/s, bound:0 nc: 16 ncall:7.9e+02 eff:10.6% logz=-42.24+/-0.15 dlogz:107.412>0.1]
86it [00:53, 11.65it/s, bound:0 nc:  7 ncall:8.0e+02 eff:10.7% logz=-41.30+/-0.15 dlogz:106.471>0.1]
89it [00:53, 13.64it/s, bound:0 nc:  7 ncall:8.2e+02 eff:10.9% logz=-40.06+/-0.15 dlogz:105.161>0.1]
93it [00:53, 14.26it/s, bound:0 nc: 14 ncall:8.4e+02 eff:11.0% logz=-37.94+/-0.15 dlogz:102.950>0.1]
