
0it [00:00, ?it/s]
1it [00:17, 17.06s/it, bound:0 nc:  9 ncall:4.1e+02 eff:0.2% logz=-564.48+/-0.18 dlogz:inf>0.1]
3it [00:17,  4.47s/it, bound:0 nc: 14 ncall:4.3e+02 eff:0.7% logz=-198.83+/-0.18 dlogz:284.209>0.1]
6it [00:17,  1.75s/it, bound:0 nc: 23 ncall:4.6e+02 eff:1.3% logz=-157.86+/-0.18 dlogz:217.175>0.1]
9it [00:17,  1.04it/s, bound:0 nc:  4 ncall:4.9e+02 eff:1.8% logz=-132.39+/-0.18 dlogz:183.004>0.1]
11it [00:17,  1.46it/s, bound:0 nc:  7 ncall:5.4e+02 eff:2.0% logz=-128.09+/-0.17 dlogz:176.790>0.1]
13it [00:17,  2.02it/s, bound:0 nc: 18 ncall:5.6e+02 eff:2.3% logz=-103.73+/-0.18 dlogz:163.150>0.1]
15it [00:17,  2.74it/s, bound:0 nc:  6 ncall:5.9e+02 eff:2.5% logz=-100.84+/-0.17 dlogz:148.968>0.1]
18it [00:18,  4.20it/s, bound:0 nc:  3 ncall:6.2e+02 eff:2.9% logz=-92.97+/-0.18 dlogz:143.414>0.1] 
20it [00:18,  5.35it/s, bound:0 nc: 15 ncall:6.4e+02 eff:3.1% logz=-86.82+/-0.17 dlogz:134.869>0.1]
22it [00:18,  6.66it/s, bound:0 nc: 11 ncall:6.6e+02 eff:3.3% logz=-84.66+/-0.16 dlogz:132.523>0.1]
24it [00:18,  8.16it/s, bound:0 nc: 10 ncall:6.8e+02 eff:3.5% logz=-77.63+/-0.17 dlogz:125.535>0.1]
27it [00:18, 10.52it/s, bound:0 nc: 15 ncall:7.1e+02 eff:3.8% logz=-74.45+/-0.17 dlogz:124.344>0.1]
29it [00:18, 10.92it/s, bound:0 nc: 37 ncall:7.6e+02 eff:3.8% logz=-68.99+/-0.17 dlogz:119.293>0.1]
31it [00:18, 11.61it/s, bound:0 nc: 27 ncall:8.0e+02 eff:3.9% logz=-65.66+/-0.16 dlogz:115.324>0.1]
33it [00:20,  3.15it/s, bound:1 nc:101 ncall:1.0e+03 eff:3.3% logz=-64.32+/-0.16 dlogz:113.442>0.1]
36it [00:22,  2.34it/s, bound:2 nc:101 ncall:1.3e+03 eff:2.8% logz=-62.59+/-0.16 dlogz:112.022>0.1]
40it [00:24,  2.12it/s, bound:3 nc:101 ncall:1.7e+03 eff:2.3% logz=-59.39+/-0.16 dlogz:108.607>0.1]
44it [00:26,  2.16it/s, bound:5 nc:101 ncall:2.1e+03 eff:2.1% logz=-57.22+/-0.15 dlogz:106.060>0.1]
48it [00:28,  2.17it/s, bound:6 nc:101 ncall:2.5e+03 eff:1.9% logz=-52.98+/-0.16 dlogz:102.479>0.1]
52it [00:30,  2.08it/s, bound:7 nc:101 ncall:2.9e+03 eff:1.8% logz=-49.52+/-0.16 dlogz:98.964>0.1] 
56it [00:32,  2.12it/s, bound:9 nc:101 ncall:3.3e+03 eff:1.7% logz=-46.91+/-0.15 dlogz:95.955>0.1]
60it [00:34,  2.07it/s, bound:10 nc:101 ncall:3.7e+03 eff:1.6% logz=-44.81+/-0.15 dlogz:93.658>0.1]
64it [00:36,  2.02it/s, bound:11 nc:101 ncall:4.1e+03 eff:1.5% logz=-42.27+/-0.15 dlogz:91.246>0.1]
68it [00:38,  1.99it/s, bound:13 nc:101 ncall:4.5e+03 eff:1.5% logz=-40.85+/-0.15 dlogz:89.702>0.1]
72it [00:40,  1.94it/s, bound:14 nc:101 ncall:4.9e+03 eff:1.5% logz=-39.72+/-0.14 dlogz:88.496>0.1]
76it [00:42,  2.02it/s, bound:15 nc:101 ncall:5.3e+03 eff:1.4% logz=-38.38+/-0.14 dlogz:87.085>0.1]
80it [00:44,  1.94it/s, bound:17 nc:101 ncall:5.8e+03 eff:1.4% logz=-37.21+/-0.14 dlogz:89.722>0.1]
84it [00:46,  1.99it/s, bound:18 nc:101 ncall:6.2e+03 eff:1.4% logz=-36.41+/-0.14 dlogz:88.824>0.1]
88it [00:48,  1.90it/s, bound:19 nc:101 ncall:6.6e+03 eff:1.3% logz=-35.10+/-0.15 dlogz:87.895>0.1]
92it [00:51,  1.63it/s, bound:21 nc:101 ncall:7.0e+03 eff:1.3% logz=-33.48+/-0.15 dlogz:86.065>0.1]
96it [00:54,  1.59it/s, bound:22 nc:101 ncall:7.4e+03 eff:1.3% logz=-32.44+/-0.14 dlogz:84.877>0.1]
100it [00:57,  1.45it/s, bound:23 nc:101 ncall:7.8e+03 eff:1.3% logz=-31.58+/-0.14 dlogz:84.024>0.1]
104it [01:01,  1.32it/s, bound:25 nc:101 ncall:8.2e+03 eff:1.3% logz=-29.43+/-0.15 dlogz:82.183>0.1]
108it [01:04,  1.30it/s, bound:26 nc:101 ncall:8.6e+03 eff:1.3% logz=-27.76+/-0.15 dlogz:80.305>0.1]
112it [01:08,  1.28it/s, bound:27 nc:101 ncall:9.0e+03 eff:1.2% logz=-26.84+/-0.14 dlogz:79.195>0.1]
116it [01:11,  1.30it/s, bound:29 nc:101 ncall:9.4e+03 eff:1.2% logz=-26.07+/-0.14 dlogz:78.486>0.1]
120it [01:14,  1.23it/s, bound:30 nc:101 ncall:9.8e+03 eff:1.2% logz=-24.98+/-0.14 dlogz:77.355>0.1]
124it [01:17,  1.32it/s, bound:31 nc:101 ncall:1.0e+04 eff:1.2% logz=-24.12+/-0.14 dlogz:76.515>0.1]
128it [01:19,  1.41it/s, bound:33 nc:101 ncall:1.1e+04 eff:1.2% logz=-23.42+/-0.14 dlogz:75.831>0.1]
132it [01:23,  1.32it/s, bound:34 nc:101 ncall:1.1e+04 eff:1.2% logz=-22.74+/-0.13 dlogz:75.105>0.1]
136it [01:26,  1.30it/s, bound:35 nc:101 ncall:1.1e+04 eff:1.2% logz=-21.81+/-0.14 dlogz:74.198>0.1]
140it [01:29,  1.33it/s, bound:37 nc:101 ncall:1.2e+04 eff:1.2% logz=-21.11+/-0.14 dlogz:73.449>0.1]
144it [01:32,  1.27it/s, bound:38 nc:101 ncall:1.2e+04 eff:1.2% logz=-20.51+/-0.13 dlogz:72.813>0.1]
148it [01:36,  1.17it/s, bound:39 nc:101 ncall:1.3e+04 eff:1.2% logz=-19.95+/-0.13 dlogz:72.258>0.1]
152it [01:39,  1.23it/s, bound:41 nc:101 ncall:1.3e+04 eff:1.2% logz=-19.43+/-0.13 dlogz:71.693>0.1]
156it [01:42,  1.22it/s, bound:42 nc:101 ncall:1.3e+04 eff:1.2% logz=-18.98+/-0.13 dlogz:72.407>0.1]
160it [01:46,  1.18it/s, bound:43 nc:101 ncall:1.4e+04 eff:1.2% logz=-18.46+/-0.13 dlogz:73.983>0.1]
164it [01:50,  1.16it/s, bound:45 nc:101 ncall:1.4e+04 eff:1.2% logz=-17.99+/-0.13 dlogz:73.505>0.1]
168it [01:53,  1.13it/s, bound:46 nc:101 ncall:1.5e+04 eff:1.1% logz=-17.18+/-0.14 dlogz:72.888>0.1]
172it [01:57,  1.15it/s, bound:47 nc:101 ncall:1.5e+04 eff:1.1% logz=-16.31+/-0.14 dlogz:71.865>0.1]
176it [02:00,  1.18it/s, bound:49 nc:101 ncall:1.5e+04 eff:1.1% logz=-15.59+/-0.14 dlogz:71.116>0.1]
180it [02:03,  1.21it/s, bound:50 nc:101 ncall:1.6e+04 eff:1.1% logz=-14.82+/-0.14 dlogz:70.383>0.1]
184it [02:07,  1.15it/s, bound:51 nc:101 ncall:1.6e+04 eff:1.1% logz=-14.12+/-0.14 dlogz:69.611>0.1]
188it [02:12,  1.04it/s, bound:53 nc:101 ncall:1.7e+04 eff:1.1% logz=-13.57+/-0.13 dlogz:69.046>0.1]
191it [02:16,  1.06s/it, bound:54 nc:202 ncall:1.7e+04 eff:1.1% logz=-13.20+/-0.13 dlogz:68.651>0.1]
195it [02:19,  1.01it/s, bound:55 nc:101 ncall:1.7e+04 eff:1.1% logz=-12.76+/-0.13 dlogz:68.187>0.1]
199it [02:23,  1.01s/it, bound:57 nc:101 ncall:1.8e+04 eff:1.1% logz=-12.31+/-0.13 dlogz:67.723>0.1]
203it [02:27,  1.03it/s, bound:58 nc:101 ncall:1.8e+04 eff:1.1% logz=-11.87+/-0.13 dlogz:67.270>0.1]
