
0it [00:00, ?it/s]
1it [00:13, 13.27s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-21691.52+/-0.18 dlogz:inf>0.1]
10it [00:13,  1.03it/s, bound:0 nc: 15 ncall:4.4e+02 eff:2.3% logz=-1303.61+/-0.18 dlogz:1378.624>0.1]
21it [00:13,  2.65it/s, bound:0 nc:  2 ncall:4.6e+02 eff:4.5% logz=-492.83+/-0.18 dlogz:560.680>0.1]  
30it [00:13,  4.46it/s, bound:0 nc:  1 ncall:4.9e+02 eff:6.2% logz=-252.92+/-0.18 dlogz:322.752>0.1]
39it [00:13,  6.66it/s, bound:0 nc: 20 ncall:5.4e+02 eff:7.2% logz=-176.31+/-0.16 dlogz:238.493>0.1]
46it [00:14,  8.61it/s, bound:0 nc:  5 ncall:6.0e+02 eff:7.7% logz=-118.04+/-0.18 dlogz:182.360>0.1]
53it [00:14, 11.57it/s, bound:0 nc: 11 ncall:6.2e+02 eff:8.6% logz=-73.32+/-0.17 dlogz:136.228>0.1] 
59it [00:14, 14.61it/s, bound:0 nc:  4 ncall:6.4e+02 eff:9.2% logz=-60.37+/-0.17 dlogz:123.400>0.1]
67it [00:14, 19.94it/s, bound:0 nc:  5 ncall:6.7e+02 eff:10.1% logz=-45.45+/-0.16 dlogz:107.485>0.1]
74it [00:14, 25.07it/s, bound:0 nc:  4 ncall:6.9e+02 eff:10.7% logz=-32.11+/-0.17 dlogz:94.371>0.1] 
81it [00:14, 26.94it/s, bound:0 nc:  2 ncall:7.4e+02 eff:11.0% logz=-28.24+/-0.16 dlogz:90.136>0.1]
92it [00:14, 37.86it/s, bound:0 nc:  6 ncall:7.6e+02 eff:12.1% logz=-19.47+/-0.16 dlogz:81.205>0.1]
99it [00:15, 42.60it/s, bound:0 nc:  2 ncall:7.8e+02 eff:12.6% logz=-14.68+/-0.15 dlogz:76.118>0.1]
108it [00:15, 49.62it/s, bound:0 nc:  9 ncall:8.2e+02 eff:13.2% logz=-11.06+/-0.14 dlogz:72.351>0.1]
119it [00:15, 61.39it/s, bound:0 nc:  4 ncall:8.4e+02 eff:14.2% logz=-8.57+/-0.14 dlogz:69.764>0.1] 
127it [00:15, 60.33it/s, bound:0 nc:  9 ncall:8.7e+02 eff:14.6% logz=-5.86+/-0.14 dlogz:67.060>0.1]
135it [00:15, 63.43it/s, bound:0 nc:  5 ncall:8.9e+02 eff:15.1% logz=-4.24+/-0.14 dlogz:65.324>0.1]
143it [00:15, 47.86it/s, bound:0 nc:  2 ncall:9.6e+02 eff:14.9% logz=-3.56+/-0.13 dlogz:64.554>0.1]
