
0it [00:00, ?it/s]
1it [00:03,  3.22s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-20960.93+/-0.18 dlogz:inf>0.1]
20it [00:03,  8.33it/s, bound:0 nc:  1 ncall:4.2e+02 eff:4.8% logz=-726.35+/-0.18 dlogz:785.728>0.1]
38it [00:03, 18.01it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.6% logz=-250.13+/-0.18 dlogz:333.768>0.1]
56it [00:03, 29.94it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.1% logz=-124.78+/-0.18 dlogz:176.709>0.1]
71it [00:03, 40.99it/s, bound:0 nc:  1 ncall:4.8e+02 eff:14.7% logz=-85.60+/-0.16 dlogz:135.894>0.1] 
86it [00:03, 53.10it/s, bound:0 nc:  3 ncall:5.0e+02 eff:17.2% logz=-60.53+/-0.18 dlogz:113.242>0.1]
100it [00:03, 64.80it/s, bound:0 nc:  3 ncall:5.2e+02 eff:19.2% logz=-44.53+/-0.17 dlogz:95.882>0.1]
116it [00:03, 79.50it/s, bound:0 nc:  2 ncall:5.4e+02 eff:21.4% logz=-29.92+/-0.16 dlogz:80.016>0.1]
132it [00:04, 93.06it/s, bound:0 nc:  1 ncall:5.6e+02 eff:23.5% logz=-24.33+/-0.14 dlogz:73.817>0.1]
147it [00:04, 98.39it/s, bound:0 nc:  1 ncall:5.9e+02 eff:25.0% logz=-21.51+/-0.14 dlogz:70.997>0.1]
161it [00:04, 104.25it/s, bound:0 nc:  2 ncall:6.0e+02 eff:26.6% logz=-19.14+/-0.13 dlogz:68.580>0.1]
175it [00:04, 109.73it/s, bound:0 nc:  1 ncall:6.2e+02 eff:28.0% logz=-16.76+/-0.13 dlogz:68.378>0.1]
188it [00:04, 101.07it/s, bound:0 nc:  1 ncall:6.5e+02 eff:28.8% logz=-14.85+/-0.13 dlogz:66.402>0.1]
200it [00:04, 103.79it/s, bound:0 nc:  3 ncall:6.8e+02 eff:29.6% logz=-13.48+/-0.13 dlogz:65.006>0.1]
212it [00:04, 99.77it/s, bound:0 nc:  1 ncall:7.0e+02 eff:30.3% logz=-12.13+/-0.13 dlogz:63.642>0.1] 
