
0it [00:00, ?it/s]
1it [00:11, 11.25s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-20020.74+/-0.18 dlogz:inf>0.1]
13it [00:11,  1.58it/s, bound:0 nc:  1 ncall:4.1e+02 eff:3.1% logz=-2293.75+/-0.18 dlogz:2744.654>0.1]
25it [00:11,  3.64it/s, bound:0 nc:  1 ncall:4.2e+02 eff:5.9% logz=-1384.75+/-0.18 dlogz:1456.774>0.1]
37it [00:11,  6.41it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.5% logz=-770.73+/-0.18 dlogz:851.683>0.1]  
46it [00:11,  9.10it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.2% logz=-513.43+/-0.18 dlogz:587.689>0.1]
58it [00:11, 13.83it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.6% logz=-369.50+/-0.18 dlogz:433.206>0.1]
68it [00:12, 18.61it/s, bound:0 nc:  2 ncall:4.7e+02 eff:14.4% logz=-271.80+/-0.18 dlogz:331.809>0.1]
77it [00:12, 24.03it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.9% logz=-224.45+/-0.19 dlogz:288.602>0.1]
86it [00:12, 29.14it/s, bound:0 nc:  1 ncall:4.9e+02 eff:17.4% logz=-206.21+/-0.18 dlogz:265.410>0.1]
94it [00:12, 33.78it/s, bound:0 nc:  1 ncall:5.0e+02 eff:18.6% logz=-177.06+/-0.16 dlogz:234.634>0.1]
104it [00:12, 40.62it/s, bound:0 nc:  1 ncall:5.2e+02 eff:20.1% logz=-155.17+/-0.18 dlogz:213.771>0.1]
113it [00:12, 46.13it/s, bound:0 nc:  1 ncall:5.3e+02 eff:21.4% logz=-136.36+/-0.16 dlogz:193.322>0.1]
122it [00:12, 50.34it/s, bound:0 nc:  1 ncall:5.4e+02 eff:22.6% logz=-123.05+/-0.17 dlogz:181.317>0.1]
134it [00:12, 60.55it/s, bound:0 nc:  1 ncall:5.5e+02 eff:24.2% logz=-92.33+/-0.17 dlogz:150.261>0.1] 
143it [00:13, 61.81it/s, bound:0 nc:  1 ncall:5.6e+02 eff:25.3% logz=-83.40+/-0.16 dlogz:140.648>0.1]
152it [00:13, 63.66it/s, bound:0 nc:  4 ncall:5.8e+02 eff:26.2% logz=-77.93+/-0.16 dlogz:135.170>0.1]
160it [00:13, 56.36it/s, bound:0 nc:  1 ncall:5.9e+02 eff:27.0% logz=-71.64+/-0.17 dlogz:129.101>0.1]
167it [00:13, 55.89it/s, bound:0 nc:  1 ncall:6.1e+02 eff:27.5% logz=-66.37+/-0.16 dlogz:123.559>0.1]
174it [00:13, 53.56it/s, bound:0 nc:  1 ncall:6.2e+02 eff:28.2% logz=-64.02+/-0.15 dlogz:120.577>0.1]
182it [00:13, 55.75it/s, bound:0 nc:  1 ncall:6.3e+02 eff:28.9% logz=-60.21+/-0.16 dlogz:117.245>0.1]
191it [00:13, 58.47it/s, bound:0 nc:  1 ncall:6.4e+02 eff:29.8% logz=-53.83+/-0.16 dlogz:110.491>0.1]
199it [00:14, 59.35it/s, bound:0 nc:  2 ncall:6.5e+02 eff:30.5% logz=-51.36+/-0.15 dlogz:107.908>0.1]
206it [00:14, 61.29it/s, bound:0 nc:  3 ncall:6.6e+02 eff:31.1% logz=-47.72+/-0.16 dlogz:104.924>0.1]
213it [00:14, 57.08it/s, bound:0 nc:  1 ncall:6.7e+02 eff:31.6% logz=-42.65+/-0.16 dlogz:99.373>0.1] 
221it [00:14, 57.70it/s, bound:0 nc:  2 ncall:6.8e+02 eff:32.3% logz=-38.98+/-0.16 dlogz:95.628>0.1]
228it [00:14, 56.10it/s, bound:0 nc:  3 ncall:7.0e+02 eff:32.6% logz=-35.92+/-0.15 dlogz:92.460>0.1]
237it [00:14, 58.86it/s, bound:0 nc:  2 ncall:7.1e+02 eff:33.4% logz=-32.09+/-0.15 dlogz:88.535>0.1]
247it [00:14, 62.63it/s, bound:0 nc:  3 ncall:7.2e+02 eff:34.2% logz=-28.09+/-0.16 dlogz:84.758>0.1]
254it [00:15, 54.24it/s, bound:0 nc:  2 ncall:7.4e+02 eff:34.4% logz=-24.99+/-0.15 dlogz:81.466>0.1]
260it [00:15, 50.72it/s, bound:0 nc:  1 ncall:7.5e+02 eff:34.6% logz=-23.52+/-0.15 dlogz:79.845>0.1]
266it [00:15, 44.08it/s, bound:0 nc:  4 ncall:7.7e+02 eff:34.7% logz=-22.16+/-0.15 dlogz:78.533>0.1]
273it [00:15, 46.20it/s, bound:0 nc:  2 ncall:7.8e+02 eff:35.1% logz=-20.25+/-0.15 dlogz:76.569>0.1]
280it [00:15, 48.23it/s, bound:0 nc:  3 ncall:7.9e+02 eff:35.5% logz=-17.87+/-0.16 dlogz:74.533>0.1]
286it [00:15, 46.50it/s, bound:0 nc:  3 ncall:8.0e+02 eff:35.7% logz=-15.85+/-0.15 dlogz:72.209>0.1]
293it [00:15, 48.41it/s, bound:0 nc:  3 ncall:8.2e+02 eff:36.0% logz=-13.74+/-0.15 dlogz:69.985>0.1]
298it [00:16, 44.75it/s, bound:0 nc:  3 ncall:8.3e+02 eff:36.0% logz=-12.93+/-0.14 dlogz:69.090>0.1]
303it [00:16, 42.28it/s, bound:0 nc:  4 ncall:8.4e+02 eff:36.2% logz=-12.26+/-0.14 dlogz:68.377>0.1]
