
0it [00:00, ?it/s]
1it [00:53, 53.95s/it, bound:0 nc:  2 ncall:4.0e+02 eff:0.2% logz=-412.68+/-0.18 dlogz:inf>0.1]
3it [00:54, 14.11s/it, bound:0 nc: 13 ncall:4.2e+02 eff:0.7% logz=-373.66+/-0.18 dlogz:449.859>0.1]
6it [00:54,  5.48s/it, bound:0 nc:  2 ncall:4.2e+02 eff:1.4% logz=-341.33+/-0.18 dlogz:428.509>0.1]
11it [00:54,  2.25s/it, bound:0 nc:  2 ncall:4.3e+02 eff:2.5% logz=-295.82+/-0.18 dlogz:373.830>0.1]
17it [00:54,  1.14s/it, bound:0 nc: 11 ncall:4.5e+02 eff:3.8% logz=-252.50+/-0.18 dlogz:331.854>0.1]
21it [00:55,  1.28it/s, bound:0 nc:  2 ncall:4.6e+02 eff:4.6% logz=-230.71+/-0.17 dlogz:303.445>0.1]
24it [00:55,  1.65it/s, bound:0 nc: 11 ncall:4.7e+02 eff:5.1% logz=-225.46+/-0.17 dlogz:297.837>0.1]
27it [00:55,  2.19it/s, bound:0 nc:  3 ncall:4.8e+02 eff:5.6% logz=-221.76+/-0.17 dlogz:294.620>0.1]
29it [00:55,  2.65it/s, bound:0 nc:  7 ncall:4.9e+02 eff:5.9% logz=-217.95+/-0.17 dlogz:290.867>0.1]
31it [00:55,  3.24it/s, bound:0 nc:  3 ncall:5.0e+02 eff:6.2% logz=-213.84+/-0.18 dlogz:287.253>0.1]
34it [00:55,  4.49it/s, bound:0 nc:  3 ncall:5.0e+02 eff:6.7% logz=-206.44+/-0.18 dlogz:280.106>0.1]
37it [00:56,  5.99it/s, bound:0 nc:  2 ncall:5.1e+02 eff:7.2% logz=-200.78+/-0.16 dlogz:272.209>0.1]
43it [00:56, 10.05it/s, bound:0 nc:  1 ncall:5.2e+02 eff:8.3% logz=-192.18+/-0.17 dlogz:264.257>0.1]
46it [00:56, 11.29it/s, bound:0 nc:  4 ncall:5.3e+02 eff:8.7% logz=-186.33+/-0.17 dlogz:258.839>0.1]
49it [00:56, 12.79it/s, bound:0 nc:  1 ncall:5.4e+02 eff:9.1% logz=-176.62+/-0.17 dlogz:249.479>0.1]
52it [00:56, 13.08it/s, bound:0 nc:  3 ncall:5.5e+02 eff:9.5% logz=-173.13+/-0.16 dlogz:244.915>0.1]
56it [00:56, 16.08it/s, bound:0 nc:  1 ncall:5.6e+02 eff:10.1% logz=-166.00+/-0.17 dlogz:238.046>0.1]
60it [00:57, 18.74it/s, bound:0 nc:  3 ncall:5.6e+02 eff:10.6% logz=-161.57+/-0.16 dlogz:232.951>0.1]
64it [00:57, 20.28it/s, bound:0 nc:  1 ncall:5.7e+02 eff:11.2% logz=-149.66+/-0.17 dlogz:222.579>0.1]
68it [00:57, 20.51it/s, bound:0 nc:  2 ncall:5.8e+02 eff:11.7% logz=-141.67+/-0.16 dlogz:213.079>0.1]
71it [00:57, 20.76it/s, bound:0 nc:  5 ncall:5.9e+02 eff:12.0% logz=-140.21+/-0.15 dlogz:211.391>0.1]
74it [00:57, 20.69it/s, bound:0 nc:  2 ncall:6.0e+02 eff:12.4% logz=-138.41+/-0.16 dlogz:209.880>0.1]
77it [00:57, 18.29it/s, bound:0 nc:  1 ncall:6.1e+02 eff:12.6% logz=-134.95+/-0.16 dlogz:206.506>0.1]
80it [00:58, 18.17it/s, bound:0 nc:  1 ncall:6.2e+02 eff:13.0% logz=-131.85+/-0.16 dlogz:203.074>0.1]
83it [00:58, 16.84it/s, bound:0 nc:  9 ncall:6.3e+02 eff:13.2% logz=-129.68+/-0.16 dlogz:201.174>0.1]
86it [00:58, 18.99it/s, bound:0 nc:  1 ncall:6.3e+02 eff:13.6% logz=-127.51+/-0.16 dlogz:198.962>0.1]
89it [00:58, 19.54it/s, bound:0 nc:  4 ncall:6.4e+02 eff:13.8% logz=-123.89+/-0.17 dlogz:195.776>0.1]
92it [00:58, 17.42it/s, bound:0 nc:  3 ncall:6.5e+02 eff:14.1% logz=-119.78+/-0.17 dlogz:191.601>0.1]
95it [00:58, 18.13it/s, bound:0 nc:  1 ncall:6.6e+02 eff:14.4% logz=-113.86+/-0.17 dlogz:185.539>0.1]
101it [00:58, 24.81it/s, bound:0 nc:  1 ncall:6.7e+02 eff:15.1% logz=-107.14+/-0.17 dlogz:178.865>0.1]
104it [00:59, 21.01it/s, bound:0 nc:  1 ncall:6.8e+02 eff:15.3% logz=-104.89+/-0.16 dlogz:176.170>0.1]
107it [00:59, 20.22it/s, bound:0 nc:  4 ncall:6.9e+02 eff:15.5% logz=-101.78+/-0.17 dlogz:173.923>0.1]
112it [00:59, 23.33it/s, bound:0 nc:  4 ncall:7.0e+02 eff:16.0% logz=-98.70+/-0.16 dlogz:169.918>0.1] 
115it [00:59, 18.24it/s, bound:0 nc:  1 ncall:7.2e+02 eff:16.1% logz=-97.12+/-0.15 dlogz:168.262>0.1]
118it [01:00, 13.03it/s, bound:0 nc:  5 ncall:7.4e+02 eff:16.0% logz=-96.00+/-0.15 dlogz:167.073>0.1]
121it [01:00, 14.17it/s, bound:0 nc:  4 ncall:7.4e+02 eff:16.2% logz=-94.59+/-0.15 dlogz:165.665>0.1]
124it [01:00, 14.87it/s, bound:0 nc:  1 ncall:7.5e+02 eff:16.5% logz=-92.73+/-0.15 dlogz:163.751>0.1]
127it [01:00, 16.03it/s, bound:0 nc:  8 ncall:7.6e+02 eff:16.6% logz=-89.41+/-0.17 dlogz:161.296>0.1]
129it [01:00, 15.66it/s, bound:0 nc:  4 ncall:7.7e+02 eff:16.8% logz=-87.98+/-0.16 dlogz:159.093>0.1]
134it [01:01, 18.24it/s, bound:0 nc:  9 ncall:7.8e+02 eff:17.1% logz=-84.55+/-0.16 dlogz:155.691>0.1]
136it [01:01, 17.20it/s, bound:0 nc:  2 ncall:7.9e+02 eff:17.2% logz=-82.99+/-0.16 dlogz:154.512>0.1]
138it [01:01, 13.81it/s, bound:0 nc:  6 ncall:8.0e+02 eff:17.2% logz=-81.27+/-0.16 dlogz:152.513>0.1]
141it [01:01, 15.09it/s, bound:0 nc:  2 ncall:8.1e+02 eff:17.4% logz=-78.95+/-0.16 dlogz:150.193>0.1]
143it [01:01, 14.70it/s, bound:0 nc:  6 ncall:8.2e+02 eff:17.5% logz=-77.15+/-0.16 dlogz:148.613>0.1]
146it [01:01, 16.58it/s, bound:0 nc:  3 ncall:8.2e+02 eff:17.7% logz=-75.63+/-0.15 dlogz:146.609>0.1]
148it [01:02, 13.97it/s, bound:0 nc:  3 ncall:8.4e+02 eff:17.6% logz=-74.61+/-0.15 dlogz:145.652>0.1]
150it [01:02, 12.18it/s, bound:0 nc:  4 ncall:8.5e+02 eff:17.6% logz=-73.72+/-0.15 dlogz:144.659>0.1]
153it [01:02, 13.60it/s, bound:0 nc:  2 ncall:8.6e+02 eff:17.8% logz=-71.49+/-0.16 dlogz:142.800>0.1]
155it [01:02, 13.57it/s, bound:0 nc:  1 ncall:8.7e+02 eff:17.9% logz=-70.15+/-0.16 dlogz:141.254>0.1]
158it [01:02, 15.58it/s, bound:0 nc:  4 ncall:8.8e+02 eff:18.1% logz=-66.92+/-0.16 dlogz:138.061>0.1]
160it [01:02, 15.44it/s, bound:0 nc:  6 ncall:8.8e+02 eff:18.1% logz=-66.07+/-0.16 dlogz:136.946>0.1]
164it [01:03, 18.64it/s, bound:0 nc:  5 ncall:8.9e+02 eff:18.4% logz=-64.91+/-0.15 dlogz:135.641>0.1]
167it [01:03, 16.87it/s, bound:0 nc:  5 ncall:9.0e+02 eff:18.5% logz=-63.48+/-0.15 dlogz:134.644>0.1]
169it [01:03, 14.31it/s, bound:0 nc: 10 ncall:9.2e+02 eff:18.4% logz=-61.85+/-0.16 dlogz:133.084>0.1]
171it [01:03, 14.38it/s, bound:0 nc:  1 ncall:9.2e+02 eff:18.5% logz=-60.08+/-0.16 dlogz:131.585>0.1]
173it [01:03, 14.13it/s, bound:0 nc:  8 ncall:9.3e+02 eff:18.6% logz=-58.45+/-0.16 dlogz:129.764>0.1]
175it [01:03, 14.16it/s, bound:0 nc:  4 ncall:9.4e+02 eff:18.6% logz=-56.19+/-0.17 dlogz:127.488>0.1]
177it [01:04, 12.38it/s, bound:0 nc:  4 ncall:9.5e+02 eff:18.7% logz=-54.90+/-0.16 dlogz:125.955>0.1]
181it [01:04, 16.70it/s, bound:0 nc:  8 ncall:9.6e+02 eff:18.9% logz=-52.67+/-0.15 dlogz:123.497>0.1]
183it [01:04, 14.03it/s, bound:0 nc:  8 ncall:9.7e+02 eff:18.8% logz=-51.93+/-0.15 dlogz:122.730>0.1]
185it [01:04, 13.90it/s, bound:0 nc:  2 ncall:9.8e+02 eff:18.9% logz=-51.12+/-0.15 dlogz:122.005>0.1]
187it [01:04, 12.37it/s, bound:0 nc:  7 ncall:9.9e+02 eff:18.9% logz=-48.32+/-0.17 dlogz:119.702>0.1]
189it [01:04, 12.89it/s, bound:0 nc:  3 ncall:1.0e+03 eff:19.0% logz=-46.31+/-0.17 dlogz:118.196>0.1]
193it [01:05, 16.85it/s, bound:0 nc:  4 ncall:1.0e+03 eff:19.2% logz=-42.73+/-0.17 dlogz:114.214>0.1]
195it [01:05, 13.51it/s, bound:0 nc:  8 ncall:1.0e+03 eff:19.1% logz=-41.43+/-0.16 dlogz:112.362>0.1]
198it [01:05, 13.53it/s, bound:0 nc:  9 ncall:1.0e+03 eff:19.2% logz=-40.22+/-0.15 dlogz:111.032>0.1]
200it [01:06,  9.32it/s, bound:0 nc: 13 ncall:1.1e+03 eff:19.0% logz=-39.44+/-0.15 dlogz:110.261>0.1]
202it [01:06, 10.73it/s, bound:0 nc:  3 ncall:1.1e+03 eff:19.1% logz=-38.72+/-0.15 dlogz:109.424>0.1]
205it [01:06, 12.87it/s, bound:0 nc:  6 ncall:1.1e+03 eff:19.2% logz=-37.22+/-0.15 dlogz:108.035>0.1]
207it [01:06, 13.14it/s, bound:0 nc:  5 ncall:1.1e+03 eff:19.3% logz=-36.62+/-0.15 dlogz:107.279>0.1]
209it [01:06, 11.49it/s, bound:0 nc: 10 ncall:1.1e+03 eff:19.3% logz=-36.04+/-0.15 dlogz:106.693>0.1]
212it [01:06, 11.00it/s, bound:0 nc: 16 ncall:1.1e+03 eff:19.2% logz=-34.86+/-0.15 dlogz:105.666>0.1]
214it [01:07, 11.63it/s, bound:0 nc:  5 ncall:1.1e+03 eff:19.3% logz=-34.03+/-0.15 dlogz:104.788>0.1]
216it [01:07, 12.12it/s, bound:0 nc:  6 ncall:1.1e+03 eff:19.3% logz=-33.46+/-0.15 dlogz:104.066>0.1]
218it [01:07, 10.02it/s, bound:0 nc: 12 ncall:1.1e+03 eff:19.2% logz=-33.00+/-0.15 dlogz:103.585>0.1]
221it [01:07, 10.96it/s, bound:0 nc:  5 ncall:1.1e+03 eff:19.3% logz=-31.20+/-0.17 dlogz:102.702>0.1]
224it [01:07, 13.17it/s, bound:0 nc:  3 ncall:1.2e+03 eff:19.4% logz=-29.32+/-0.16 dlogz:100.074>0.1]
226it [01:08, 13.12it/s, bound:0 nc:  5 ncall:1.2e+03 eff:19.4% logz=-28.49+/-0.16 dlogz:99.209>0.1] 
228it [01:08, 11.94it/s, bound:0 nc:  1 ncall:1.2e+03 eff:19.4% logz=-27.82+/-0.15 dlogz:98.520>0.1]
230it [01:08, 12.51it/s, bound:0 nc:  6 ncall:1.2e+03 eff:19.5% logz=-27.13+/-0.15 dlogz:97.760>0.1]
234it [01:08, 13.06it/s, bound:0 nc:  9 ncall:1.2e+03 eff:19.5% logz=-26.18+/-0.15 dlogz:96.697>0.1]
236it [01:08, 13.34it/s, bound:0 nc:  9 ncall:1.2e+03 eff:19.6% logz=-25.48+/-0.15 dlogz:96.255>0.1]
238it [01:08, 13.41it/s, bound:0 nc:  2 ncall:1.2e+03 eff:19.6% logz=-24.37+/-0.16 dlogz:95.211>0.1]
241it [01:09, 15.65it/s, bound:0 nc:  6 ncall:1.2e+03 eff:19.7% logz=-23.24+/-0.15 dlogz:93.854>0.1]
246it [01:09, 10.79it/s, bound:0 nc: 30 ncall:1.3e+03 eff:19.6% logz=-22.08+/-0.15 dlogz:92.555>0.1]
248it [01:09, 10.44it/s, bound:0 nc: 11 ncall:1.3e+03 eff:19.5% logz=-20.87+/-0.16 dlogz:91.849>0.1]
250it [01:10, 11.06it/s, bound:0 nc:  6 ncall:1.3e+03 eff:19.5% logz=-19.98+/-0.16 dlogz:90.628>0.1]
252it [01:10, 11.68it/s, bound:0 nc:  3 ncall:1.3e+03 eff:19.6% logz=-19.26+/-0.15 dlogz:89.876>0.1]
254it [01:10, 12.32it/s, bound:0 nc:  1 ncall:1.3e+03 eff:19.6% logz=-18.46+/-0.15 dlogz:89.189>0.1]
256it [01:10, 12.63it/s, bound:0 nc:  7 ncall:1.3e+03 eff:19.6% logz=-17.68+/-0.15 dlogz:88.292>0.1]
258it [01:10,  9.38it/s, bound:0 nc:  6 ncall:1.3e+03 eff:19.5% logz=-16.84+/-0.15 dlogz:87.534>0.1]
260it [01:11,  9.38it/s, bound:0 nc:  3 ncall:1.3e+03 eff:19.5% logz=-16.04+/-0.15 dlogz:86.684>0.1]
264it [01:11, 11.08it/s, bound:0 nc: 13 ncall:1.4e+03 eff:19.5% logz=-14.44+/-0.15 dlogz:85.075>0.1]
266it [01:11, 10.55it/s, bound:0 nc:  4 ncall:1.4e+03 eff:19.5% logz=-13.24+/-0.16 dlogz:84.242>0.1]
