
0it [00:00, ?it/s]
1it [00:49, 49.76s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-6650.95+/-0.18 dlogz:inf>0.1]
5it [00:49,  7.46s/it, bound:0 nc:  1 ncall:4.0e+02 eff:1.2% logz=-3808.09+/-0.18 dlogz:4498.531>0.1]
8it [00:50,  3.94s/it, bound:0 nc:  1 ncall:4.1e+02 eff:2.0% logz=-3559.71+/-0.18 dlogz:3643.693>0.1]
12it [00:50,  2.09s/it, bound:0 nc:  1 ncall:4.1e+02 eff:2.9% logz=-2866.94+/-0.18 dlogz:3250.232>0.1]
16it [00:50,  1.27s/it, bound:0 nc:  1 ncall:4.2e+02 eff:3.8% logz=-2416.44+/-0.18 dlogz:2721.245>0.1]
19it [00:50,  1.10it/s, bound:0 nc:  1 ncall:4.2e+02 eff:4.5% logz=-1943.60+/-0.18 dlogz:2106.985>0.1]
23it [00:51,  1.67it/s, bound:0 nc:  1 ncall:4.2e+02 eff:5.4% logz=-1625.90+/-0.18 dlogz:1723.545>0.1]
27it [00:51,  2.43it/s, bound:0 nc:  1 ncall:4.3e+02 eff:6.3% logz=-1505.72+/-0.18 dlogz:1654.222>0.1]
31it [00:51,  3.40it/s, bound:0 nc:  1 ncall:4.3e+02 eff:7.2% logz=-1268.53+/-0.18 dlogz:1426.959>0.1]
35it [00:51,  4.62it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.0% logz=-1132.85+/-0.18 dlogz:1244.598>0.1]
39it [00:52,  6.06it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.8% logz=-945.60+/-0.18 dlogz:1057.324>0.1] 
42it [00:52,  7.07it/s, bound:0 nc:  2 ncall:4.5e+02 eff:9.4% logz=-916.41+/-0.18 dlogz:975.928>0.1] 
45it [00:52,  8.14it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.0% logz=-896.74+/-0.17 dlogz:955.304>0.1]
49it [00:52, 10.05it/s, bound:0 nc:  1 ncall:4.5e+02 eff:10.8% logz=-825.54+/-0.18 dlogz:906.548>0.1]
53it [00:52, 11.75it/s, bound:0 nc:  1 ncall:4.6e+02 eff:11.6% logz=-710.49+/-0.18 dlogz:773.548>0.1]
57it [00:53, 12.66it/s, bound:0 nc:  2 ncall:4.6e+02 eff:12.3% logz=-687.92+/-0.18 dlogz:755.721>0.1]
60it [00:53, 12.98it/s, bound:0 nc:  1 ncall:4.6e+02 eff:12.9% logz=-661.08+/-0.18 dlogz:739.634>0.1]
63it [00:53, 13.16it/s, bound:0 nc:  1 ncall:4.7e+02 eff:13.4% logz=-605.02+/-0.18 dlogz:700.746>0.1]
67it [00:53, 14.76it/s, bound:0 nc:  1 ncall:4.7e+02 eff:14.2% logz=-514.64+/-0.18 dlogz:640.963>0.1]
71it [00:53, 15.90it/s, bound:0 nc:  2 ncall:4.8e+02 eff:14.9% logz=-447.76+/-0.19 dlogz:552.337>0.1]
