
0it [00:00, ?it/s]
1it [01:50, 110.45s/it, bound:0 nc:  4 ncall:4.0e+02 eff:0.2% logz=-859.17+/-0.18 dlogz:inf>0.1]
2it [01:50, 45.60s/it, bound:0 nc:  2 ncall:4.1e+02 eff:0.5% logz=-675.37+/-0.18 dlogz:928.061>0.1]
3it [01:50, 24.90s/it, bound:0 nc:  4 ncall:4.1e+02 eff:0.7% logz=-496.05+/-0.18 dlogz:744.264>0.1]
5it [01:51, 10.92s/it, bound:0 nc:  9 ncall:4.2e+02 eff:1.2% logz=-383.82+/-0.18 dlogz:507.188>0.1]
6it [01:51,  7.84s/it, bound:0 nc:  3 ncall:4.2e+02 eff:1.4% logz=-364.67+/-0.18 dlogz:452.704>0.1]
8it [01:51,  4.35s/it, bound:0 nc:  1 ncall:4.2e+02 eff:1.9% logz=-288.13+/-0.18 dlogz:362.893>0.1]
9it [01:52,  3.34s/it, bound:0 nc:  4 ncall:4.3e+02 eff:2.1% logz=-278.41+/-0.18 dlogz:357.009>0.1]
12it [01:52,  1.68s/it, bound:0 nc:  2 ncall:4.3e+02 eff:2.8% logz=-249.65+/-0.17 dlogz:320.393>0.1]
14it [01:52,  1.24s/it, bound:0 nc: 12 ncall:4.5e+02 eff:3.1% logz=-239.59+/-0.18 dlogz:313.767>0.1]
15it [01:53,  1.04s/it, bound:0 nc:  1 ncall:4.5e+02 eff:3.3% logz=-232.91+/-0.18 dlogz:308.452>0.1]
17it [01:53,  1.39it/s, bound:0 nc:  3 ncall:4.5e+02 eff:3.8% logz=-223.91+/-0.17 dlogz:294.388>0.1]
20it [01:53,  2.12it/s, bound:0 nc:  6 ncall:4.6e+02 eff:4.3% logz=-212.85+/-0.18 dlogz:285.585>0.1]
22it [01:54,  2.51it/s, bound:0 nc:  5 ncall:4.7e+02 eff:4.7% logz=-198.57+/-0.17 dlogz:268.659>0.1]
24it [01:54,  2.86it/s, bound:0 nc:  7 ncall:4.8e+02 eff:5.0% logz=-190.57+/-0.18 dlogz:265.351>0.1]
25it [01:54,  3.12it/s, bound:0 nc:  4 ncall:4.8e+02 eff:5.2% logz=-188.33+/-0.17 dlogz:259.402>0.1]
26it [01:55,  3.38it/s, bound:0 nc:  7 ncall:4.9e+02 eff:5.3% logz=-186.24+/-0.17 dlogz:257.158>0.1]
27it [01:55,  3.58it/s, bound:0 nc:  3 ncall:4.9e+02 eff:5.5% logz=-183.24+/-0.18 dlogz:255.066>0.1]
28it [01:55,  3.75it/s, bound:0 nc:  5 ncall:5.0e+02 eff:5.6% logz=-181.77+/-0.17 dlogz:252.072>0.1]
29it [01:55,  3.95it/s, bound:0 nc:  2 ncall:5.0e+02 eff:5.8% logz=-180.78+/-0.16 dlogz:250.597>0.1]
31it [01:55,  5.26it/s, bound:0 nc:  2 ncall:5.0e+02 eff:6.2% logz=-170.42+/-0.18 dlogz:243.648>0.1]
32it [01:56,  5.03it/s, bound:0 nc:  4 ncall:5.1e+02 eff:6.3% logz=-168.78+/-0.17 dlogz:239.234>0.1]
34it [01:56,  4.85it/s, bound:0 nc:  8 ncall:5.2e+02 eff:6.6% logz=-163.11+/-0.18 dlogz:234.459>0.1]
35it [01:56,  4.70it/s, bound:0 nc:  2 ncall:5.2e+02 eff:6.8% logz=-160.02+/-0.18 dlogz:231.918>0.1]
37it [01:57,  5.50it/s, bound:0 nc:  4 ncall:5.2e+02 eff:7.1% logz=-156.53+/-0.17 dlogz:226.460>0.1]
38it [01:57,  5.30it/s, bound:0 nc:  4 ncall:5.3e+02 eff:7.2% logz=-155.33+/-0.16 dlogz:225.331>0.1]
39it [01:57,  4.94it/s, bound:0 nc:  1 ncall:5.3e+02 eff:7.4% logz=-151.41+/-0.18 dlogz:224.130>0.1]
41it [01:57,  5.04it/s, bound:0 nc:  6 ncall:5.4e+02 eff:7.6% logz=-148.92+/-0.16 dlogz:218.551>0.1]
43it [01:58,  3.83it/s, bound:0 nc: 12 ncall:5.5e+02 eff:7.8% logz=-145.71+/-0.18 dlogz:216.977>0.1]
44it [01:58,  4.02it/s, bound:0 nc:  2 ncall:5.5e+02 eff:7.9% logz=-144.26+/-0.17 dlogz:214.494>0.1]
47it [01:59,  5.45it/s, bound:0 nc:  3 ncall:5.6e+02 eff:8.4% logz=-139.25+/-0.17 dlogz:209.571>0.1]
49it [01:59,  6.17it/s, bound:0 nc:  1 ncall:5.6e+02 eff:8.7% logz=-136.14+/-0.17 dlogz:207.051>0.1]
50it [01:59,  5.46it/s, bound:0 nc:  7 ncall:5.7e+02 eff:8.8% logz=-135.02+/-0.17 dlogz:204.912>0.1]
51it [01:59,  5.22it/s, bound:0 nc:  3 ncall:5.7e+02 eff:8.9% logz=-133.85+/-0.16 dlogz:203.787>0.1]
53it [02:00,  6.09it/s, bound:0 nc:  1 ncall:5.7e+02 eff:9.2% logz=-131.84+/-0.16 dlogz:201.545>0.1]
56it [02:00,  8.06it/s, bound:0 nc:  2 ncall:5.8e+02 eff:9.7% logz=-127.59+/-0.17 dlogz:197.551>0.1]
59it [02:00,  9.79it/s, bound:0 nc:  3 ncall:5.8e+02 eff:10.1% logz=-117.83+/-0.18 dlogz:192.127>0.1]
61it [02:00,  9.11it/s, bound:0 nc:  3 ncall:5.9e+02 eff:10.4% logz=-115.58+/-0.17 dlogz:185.389>0.1]
62it [02:01,  6.06it/s, bound:0 nc:  6 ncall:5.9e+02 eff:10.4% logz=-112.56+/-0.18 dlogz:184.322>0.1]
63it [02:01,  5.51it/s, bound:0 nc:  3 ncall:6.0e+02 eff:10.6% logz=-111.36+/-0.17 dlogz:181.304>0.1]
64it [02:01,  5.29it/s, bound:0 nc:  4 ncall:6.0e+02 eff:10.6% logz=-110.63+/-0.16 dlogz:180.100>0.1]
65it [02:02,  4.94it/s, bound:0 nc:  5 ncall:6.1e+02 eff:10.7% logz=-110.06+/-0.16 dlogz:179.365>0.1]
66it [02:02,  4.82it/s, bound:0 nc:  3 ncall:6.1e+02 eff:10.8% logz=-109.52+/-0.15 dlogz:178.792>0.1]
67it [02:03,  2.26it/s, bound:0 nc: 21 ncall:6.3e+02 eff:10.6% logz=-108.99+/-0.15 dlogz:178.250>0.1]
68it [02:03,  2.31it/s, bound:0 nc:  8 ncall:6.4e+02 eff:10.7% logz=-107.95+/-0.16 dlogz:177.721>0.1]
70it [02:04,  3.37it/s, bound:0 nc:  4 ncall:6.4e+02 eff:10.9% logz=-105.81+/-0.16 dlogz:175.396>0.1]
71it [02:04,  3.63it/s, bound:0 nc:  2 ncall:6.4e+02 eff:11.0% logz=-105.23+/-0.16 dlogz:174.525>0.1]
74it [02:04,  4.71it/s, bound:0 nc:  7 ncall:6.6e+02 eff:11.3% logz=-103.30+/-0.16 dlogz:172.797>0.1]
75it [02:04,  4.60it/s, bound:0 nc:  2 ncall:6.6e+02 eff:11.4% logz=-102.47+/-0.16 dlogz:172.010>0.1]
76it [02:05,  3.15it/s, bound:0 nc: 14 ncall:6.7e+02 eff:11.3% logz=-101.87+/-0.16 dlogz:171.177>0.1]
77it [02:05,  3.45it/s, bound:0 nc:  3 ncall:6.7e+02 eff:11.4% logz=-101.46+/-0.15 dlogz:170.578>0.1]
79it [02:06,  4.46it/s, bound:0 nc:  1 ncall:6.8e+02 eff:11.7% logz=-100.45+/-0.15 dlogz:170.037>0.1]
80it [02:06,  4.60it/s, bound:0 nc:  5 ncall:6.8e+02 eff:11.7% logz=-99.15+/-0.16 dlogz:169.488>0.1] 
81it [02:06,  4.38it/s, bound:0 nc:  5 ncall:6.9e+02 eff:11.8% logz=-98.30+/-0.16 dlogz:168.190>0.1]
83it [02:06,  5.68it/s, bound:0 nc:  3 ncall:6.9e+02 eff:12.0% logz=-95.09+/-0.18 dlogz:166.305>0.1]
84it [02:06,  5.43it/s, bound:0 nc:  2 ncall:6.9e+02 eff:12.1% logz=-93.95+/-0.17 dlogz:164.119>0.1]
86it [02:07,  6.30it/s, bound:0 nc:  4 ncall:7.0e+02 eff:12.3% logz=-91.07+/-0.17 dlogz:161.136>0.1]
87it [02:07,  5.81it/s, bound:0 nc:  4 ncall:7.0e+02 eff:12.4% logz=-90.15+/-0.16 dlogz:160.097>0.1]
89it [02:07,  5.02it/s, bound:0 nc:  5 ncall:7.1e+02 eff:12.6% logz=-89.08+/-0.16 dlogz:158.520>0.1]
91it [02:08,  5.75it/s, bound:0 nc:  4 ncall:7.2e+02 eff:12.7% logz=-88.11+/-0.16 dlogz:157.789>0.1]
92it [02:08,  5.23it/s, bound:0 nc:  1 ncall:7.2e+02 eff:12.8% logz=-87.05+/-0.16 dlogz:157.123>0.1]
94it [02:08,  5.14it/s, bound:0 nc:  7 ncall:7.2e+02 eff:13.0% logz=-83.88+/-0.17 dlogz:154.723>0.1]
96it [02:09,  4.92it/s, bound:0 nc:  5 ncall:7.3e+02 eff:13.1% logz=-80.21+/-0.17 dlogz:150.314>0.1]
97it [02:09,  3.94it/s, bound:0 nc:  8 ncall:7.4e+02 eff:13.1% logz=-79.63+/-0.16 dlogz:149.213>0.1]
98it [02:09,  3.99it/s, bound:0 nc:  4 ncall:7.4e+02 eff:13.2% logz=-79.19+/-0.16 dlogz:148.627>0.1]
100it [02:10,  4.90it/s, bound:0 nc:  3 ncall:7.5e+02 eff:13.3% logz=-78.35+/-0.15 dlogz:147.741>0.1]
103it [02:10,  5.36it/s, bound:0 nc:  5 ncall:7.6e+02 eff:13.6% logz=-76.86+/-0.15 dlogz:146.375>0.1]
104it [02:10,  5.28it/s, bound:0 nc:  7 ncall:7.6e+02 eff:13.6% logz=-76.32+/-0.15 dlogz:145.840>0.1]
105it [02:11,  5.29it/s, bound:0 nc:  3 ncall:7.7e+02 eff:13.7% logz=-75.86+/-0.15 dlogz:145.300>0.1]
106it [02:11,  4.99it/s, bound:0 nc:  4 ncall:7.7e+02 eff:13.7% logz=-75.36+/-0.15 dlogz:144.835>0.1]
108it [02:11,  5.90it/s, bound:0 nc:  1 ncall:7.7e+02 eff:14.0% logz=-72.67+/-0.18 dlogz:143.806>0.1]
109it [02:11,  5.91it/s, bound:0 nc:  5 ncall:7.8e+02 eff:14.0% logz=-70.82+/-0.17 dlogz:141.639>0.1]
110it [02:11,  6.07it/s, bound:0 nc:  3 ncall:7.8e+02 eff:14.1% logz=-69.78+/-0.17 dlogz:139.785>0.1]
112it [02:12,  6.23it/s, bound:0 nc:  8 ncall:7.9e+02 eff:14.2% logz=-68.42+/-0.16 dlogz:137.951>0.1]
113it [02:12,  5.09it/s, bound:0 nc:  7 ncall:8.0e+02 eff:14.2% logz=-66.93+/-0.17 dlogz:137.385>0.1]
114it [02:12,  5.19it/s, bound:0 nc:  4 ncall:8.0e+02 eff:14.2% logz=-65.39+/-0.17 dlogz:135.889>0.1]
116it [02:12,  6.76it/s, bound:0 nc:  3 ncall:8.1e+02 eff:14.4% logz=-63.61+/-0.16 dlogz:133.413>0.1]
118it [02:12,  8.25it/s, bound:0 nc:  2 ncall:8.1e+02 eff:14.6% logz=-62.60+/-0.16 dlogz:131.946>0.1]
119it [02:13,  7.45it/s, bound:0 nc:  4 ncall:8.1e+02 eff:14.6% logz=-62.29+/-0.15 dlogz:131.546>0.1]
120it [02:13,  6.91it/s, bound:0 nc:  6 ncall:8.2e+02 eff:14.6% logz=-61.48+/-0.16 dlogz:131.237>0.1]
121it [02:13,  5.33it/s, bound:0 nc:  6 ncall:8.3e+02 eff:14.6% logz=-60.68+/-0.16 dlogz:130.419>0.1]
123it [02:13,  6.78it/s, bound:0 nc:  2 ncall:8.3e+02 eff:14.8% logz=-59.31+/-0.16 dlogz:129.054>0.1]
125it [02:14,  8.27it/s, bound:0 nc:  6 ncall:8.4e+02 eff:15.0% logz=-58.22+/-0.16 dlogz:127.600>0.1]
126it [02:14,  8.06it/s, bound:0 nc:  1 ncall:8.4e+02 eff:15.1% logz=-57.83+/-0.15 dlogz:127.143>0.1]
128it [02:14,  9.14it/s, bound:0 nc:  4 ncall:8.4e+02 eff:15.2% logz=-56.93+/-0.15 dlogz:126.323>0.1]
129it [02:14,  8.28it/s, bound:0 nc:  4 ncall:8.5e+02 eff:15.2% logz=-56.51+/-0.15 dlogz:125.847>0.1]
131it [02:14,  9.38it/s, bound:0 nc:  3 ncall:8.5e+02 eff:15.4% logz=-55.62+/-0.15 dlogz:125.029>0.1]
133it [02:14, 10.68it/s, bound:0 nc:  5 ncall:8.6e+02 eff:15.5% logz=-54.72+/-0.15 dlogz:124.079>0.1]
135it [02:15,  8.78it/s, bound:0 nc:  5 ncall:8.6e+02 eff:15.7% logz=-53.55+/-0.16 dlogz:123.129>0.1]
137it [02:15,  5.59it/s, bound:0 nc: 14 ncall:8.8e+02 eff:15.6% logz=-52.57+/-0.15 dlogz:121.895>0.1]
138it [02:16,  4.30it/s, bound:0 nc: 12 ncall:8.9e+02 eff:15.5% logz=-52.12+/-0.15 dlogz:121.471>0.1]
141it [02:16,  6.68it/s, bound:0 nc:  2 ncall:8.9e+02 eff:15.8% logz=-51.10+/-0.15 dlogz:120.289>0.1]
143it [02:16,  7.70it/s, bound:0 nc:  1 ncall:9.0e+02 eff:15.9% logz=-48.97+/-0.16 dlogz:119.023>0.1]
