
0it [00:00, ?it/s]
1it [02:22, 142.90s/it, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-733.51+/-0.18 dlogz:inf>0.1]
4it [02:23, 27.09s/it, bound:0 nc:  3 ncall:4.1e+02 eff:1.0% logz=-483.36+/-0.18 dlogz:623.510>0.1]
6it [02:23, 15.37s/it, bound:0 nc:  2 ncall:4.1e+02 eff:1.4% logz=-420.46+/-0.18 dlogz:538.153>0.1]
7it [02:23, 11.78s/it, bound:0 nc:  3 ncall:4.2e+02 eff:1.7% logz=-387.87+/-0.18 dlogz:485.286>0.1]
10it [02:23,  5.88s/it, bound:0 nc:  4 ncall:4.2e+02 eff:2.4% logz=-341.13+/-0.17 dlogz:407.134>0.1]
11it [02:24,  4.82s/it, bound:0 nc:  6 ncall:4.3e+02 eff:2.6% logz=-337.41+/-0.18 dlogz:406.372>0.1]
13it [02:24,  3.14s/it, bound:0 nc:  2 ncall:4.3e+02 eff:3.0% logz=-317.48+/-0.18 dlogz:388.657>0.1]
14it [02:24,  2.55s/it, bound:0 nc:  3 ncall:4.4e+02 eff:3.2% logz=-312.56+/-0.18 dlogz:382.711>0.1]
15it [02:25,  2.03s/it, bound:0 nc:  4 ncall:4.4e+02 eff:3.4% logz=-310.34+/-0.17 dlogz:377.789>0.1]
17it [02:25,  1.31s/it, bound:0 nc:  6 ncall:4.5e+02 eff:3.8% logz=-298.61+/-0.17 dlogz:365.142>0.1]
20it [02:25,  1.33it/s, bound:0 nc:  5 ncall:4.6e+02 eff:4.4% logz=-264.32+/-0.17 dlogz:331.086>0.1]
21it [02:25,  1.52it/s, bound:0 nc:  1 ncall:4.6e+02 eff:4.6% logz=-260.16+/-0.18 dlogz:329.531>0.1]
23it [02:26,  2.10it/s, bound:0 nc:  3 ncall:4.6e+02 eff:5.0% logz=-254.98+/-0.18 dlogz:325.177>0.1]
26it [02:26,  3.25it/s, bound:0 nc:  1 ncall:4.6e+02 eff:5.6% logz=-237.86+/-0.18 dlogz:311.882>0.1]
29it [02:26,  4.45it/s, bound:0 nc:  1 ncall:4.7e+02 eff:6.2% logz=-225.12+/-0.18 dlogz:293.995>0.1]
32it [02:26,  5.78it/s, bound:0 nc:  2 ncall:4.7e+02 eff:6.8% logz=-220.48+/-0.17 dlogz:287.864>0.1]
34it [02:27,  5.46it/s, bound:0 nc:  2 ncall:4.8e+02 eff:7.1% logz=-217.49+/-0.17 dlogz:285.715>0.1]
38it [02:27,  7.74it/s, bound:0 nc:  1 ncall:4.8e+02 eff:7.8% logz=-202.60+/-0.18 dlogz:271.594>0.1]
40it [02:27,  7.89it/s, bound:0 nc:  1 ncall:4.9e+02 eff:8.2% logz=-198.59+/-0.18 dlogz:267.148>0.1]
42it [02:27,  8.26it/s, bound:0 nc:  3 ncall:5.0e+02 eff:8.5% logz=-190.79+/-0.18 dlogz:262.630>0.1]
44it [02:28,  4.70it/s, bound:0 nc:  8 ncall:5.1e+02 eff:8.6% logz=-183.65+/-0.18 dlogz:252.120>0.1]
45it [02:29,  4.74it/s, bound:0 nc:  3 ncall:5.1e+02 eff:8.8% logz=-182.11+/-0.17 dlogz:249.700>0.1]
47it [02:29,  5.56it/s, bound:0 nc:  4 ncall:5.2e+02 eff:9.0% logz=-178.29+/-0.18 dlogz:246.993>0.1]
48it [02:29,  5.27it/s, bound:0 nc:  1 ncall:5.2e+02 eff:9.2% logz=-172.31+/-0.18 dlogz:244.331>0.1]
