
0it [00:00, ?it/s]
1it [01:25, 85.88s/it, bound:0 nc:  5 ncall:4.0e+02 eff:0.2% logz=-700.27+/-0.18 dlogz:inf>0.1]
4it [01:26, 16.33s/it, bound:0 nc:  1 ncall:4.1e+02 eff:1.0% logz=-483.57+/-0.17 dlogz:552.288>0.1]
7it [01:26,  7.61s/it, bound:0 nc:  1 ncall:4.1e+02 eff:1.7% logz=-384.94+/-0.18 dlogz:476.419>0.1]
10it [01:26,  4.34s/it, bound:0 nc:  1 ncall:4.2e+02 eff:2.4% logz=-362.28+/-0.17 dlogz:431.161>0.1]
12it [01:26,  3.11s/it, bound:0 nc:  2 ncall:4.2e+02 eff:2.9% logz=-339.74+/-0.18 dlogz:412.465>0.1]
15it [01:27,  1.95s/it, bound:0 nc:  1 ncall:4.2e+02 eff:3.5% logz=-295.96+/-0.18 dlogz:370.472>0.1]
18it [01:27,  1.28s/it, bound:0 nc:  2 ncall:4.3e+02 eff:4.2% logz=-240.03+/-0.18 dlogz:323.970>0.1]
20it [01:27,  1.01it/s, bound:0 nc:  1 ncall:4.4e+02 eff:4.6% logz=-235.52+/-0.17 dlogz:304.795>0.1]
22it [01:27,  1.32it/s, bound:0 nc:  1 ncall:4.4e+02 eff:5.0% logz=-229.83+/-0.18 dlogz:301.231>0.1]
23it [01:28,  1.49it/s, bound:0 nc:  4 ncall:4.4e+02 eff:5.2% logz=-228.32+/-0.17 dlogz:297.015>0.1]
24it [01:28,  1.69it/s, bound:0 nc:  5 ncall:4.5e+02 eff:5.4% logz=-227.03+/-0.17 dlogz:295.508>0.1]
26it [01:28,  2.34it/s, bound:0 nc:  4 ncall:4.5e+02 eff:5.8% logz=-217.64+/-0.17 dlogz:285.924>0.1]
28it [01:29,  2.74it/s, bound:0 nc:  8 ncall:4.6e+02 eff:6.1% logz=-214.94+/-0.17 dlogz:283.762>0.1]
29it [01:29,  2.94it/s, bound:0 nc:  2 ncall:4.6e+02 eff:6.3% logz=-213.51+/-0.17 dlogz:282.108>0.1]
30it [01:29,  3.14it/s, bound:0 nc:  3 ncall:4.6e+02 eff:6.5% logz=-210.61+/-0.18 dlogz:280.673>0.1]
32it [01:29,  4.12it/s, bound:0 nc:  1 ncall:4.7e+02 eff:6.8% logz=-204.40+/-0.17 dlogz:273.239>0.1]
35it [01:29,  6.59it/s, bound:0 nc:  4 ncall:4.8e+02 eff:7.4% logz=-197.48+/-0.17 dlogz:265.736>0.1]
37it [01:29,  8.25it/s, bound:0 nc:  1 ncall:4.8e+02 eff:7.7% logz=-194.34+/-0.17 dlogz:262.653>0.1]
39it [01:30,  9.00it/s, bound:0 nc:  2 ncall:4.8e+02 eff:8.1% logz=-192.21+/-0.16 dlogz:260.494>0.1]
43it [01:30, 12.36it/s, bound:0 nc:  4 ncall:4.9e+02 eff:8.8% logz=-186.78+/-0.16 dlogz:254.944>0.1]
45it [01:30, 12.01it/s, bound:0 nc:  1 ncall:4.9e+02 eff:9.2% logz=-181.99+/-0.17 dlogz:251.000>0.1]
47it [01:30, 11.84it/s, bound:0 nc:  2 ncall:4.9e+02 eff:9.5% logz=-179.98+/-0.16 dlogz:248.181>0.1]
49it [01:30, 10.87it/s, bound:0 nc:  1 ncall:5.0e+02 eff:9.8% logz=-176.14+/-0.17 dlogz:244.539>0.1]
51it [01:31,  8.27it/s, bound:0 nc:  6 ncall:5.0e+02 eff:10.1% logz=-171.76+/-0.18 dlogz:241.793>0.1]
54it [01:31, 10.08it/s, bound:0 nc:  1 ncall:5.1e+02 eff:10.6% logz=-163.11+/-0.18 dlogz:232.745>0.1]
56it [01:31, 10.52it/s, bound:0 nc:  2 ncall:5.1e+02 eff:10.9% logz=-160.46+/-0.17 dlogz:228.941>0.1]
58it [01:31, 11.42it/s, bound:0 nc:  2 ncall:5.2e+02 eff:11.2% logz=-159.11+/-0.16 dlogz:226.706>0.1]
60it [01:32,  5.29it/s, bound:0 nc: 13 ncall:5.4e+02 eff:11.2% logz=-150.77+/-0.18 dlogz:225.081>0.1]
62it [01:32,  6.24it/s, bound:0 nc:  3 ncall:5.4e+02 eff:11.5% logz=-147.79+/-0.17 dlogz:216.119>0.1]
64it [01:33,  7.02it/s, bound:0 nc:  2 ncall:5.4e+02 eff:11.7% logz=-143.36+/-0.18 dlogz:212.830>0.1]
66it [01:33,  7.65it/s, bound:0 nc:  1 ncall:5.5e+02 eff:12.0% logz=-137.53+/-0.17 dlogz:206.454>0.1]
68it [01:33,  8.09it/s, bound:0 nc:  1 ncall:5.5e+02 eff:12.3% logz=-129.85+/-0.18 dlogz:199.798>0.1]
70it [01:33,  8.49it/s, bound:0 nc:  3 ncall:5.6e+02 eff:12.6% logz=-126.83+/-0.17 dlogz:195.716>0.1]
72it [01:33,  8.82it/s, bound:0 nc:  5 ncall:5.6e+02 eff:12.8% logz=-121.00+/-0.18 dlogz:192.808>0.1]
