
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  6 ncall:4.1e+02 eff:0.2% logz=-168.20+/-0.13 dlogz:inf>0.1]
9it [00:00, 56.63it/s, bound:0 nc:  6 ncall:4.4e+02 eff:2.0% logz=-90.92+/-0.13 dlogz:127.670>0.1]
15it [00:00, 54.41it/s, bound:0 nc: 19 ncall:4.8e+02 eff:3.1% logz=-67.84+/-0.12 dlogz:100.864>0.1]
20it [00:01, 38.11it/s, bound:0 nc:  2 ncall:5.0e+02 eff:4.0% logz=-54.00+/-0.12 dlogz:87.274>0.1] 
25it [00:01, 41.57it/s, bound:0 nc:  1 ncall:5.2e+02 eff:4.8% logz=-50.27+/-0.11 dlogz:82.952>0.1]
31it [00:01, 39.23it/s, bound:0 nc: 11 ncall:5.6e+02 eff:5.5% logz=-46.08+/-0.11 dlogz:78.819>0.1]
40it [00:01, 48.81it/s, bound:0 nc:  9 ncall:6.0e+02 eff:6.6% logz=-37.55+/-0.11 dlogz:70.549>0.1]
46it [00:01, 44.23it/s, bound:0 nc: 12 ncall:6.4e+02 eff:7.2% logz=-31.91+/-0.11 dlogz:64.048>0.1]
51it [00:01, 42.75it/s, bound:0 nc:  7 ncall:6.8e+02 eff:7.5% logz=-29.60+/-0.10 dlogz:61.690>0.1]
58it [00:01, 47.79it/s, bound:0 nc:  5 ncall:7.2e+02 eff:8.0% logz=-28.00+/-0.10 dlogz:60.017>0.1]
63it [00:01, 44.01it/s, bound:0 nc:  2 ncall:7.7e+02 eff:8.2% logz=-26.89+/-0.10 dlogz:58.949>0.1]
71it [00:14,  1.73it/s, bound:1 nc: 33 ncall:8.2e+02 eff:8.6% logz=-24.22+/-0.10 dlogz:56.342>0.1]
130it [00:14,  8.41it/s, bound:2 nc: 21 ncall:2.3e+03 eff:5.7% logz=-12.63+/-0.09 dlogz:44.364>0.1]
210it [00:14, 20.98it/s, bound:4 nc: 23 ncall:4.3e+03 eff:4.9% logz=-6.75+/-0.08 dlogz:38.192>0.1] 
308it [00:14, 42.19it/s, bound:7 nc: 30 ncall:6.7e+03 eff:4.6% logz=-3.57+/-0.07 dlogz:40.708>0.1]
327it [00:30, 42.19it/s, bound:7 nc: 21 ncall:7.2e+03 eff:4.5% logz=-3.14+/-0.07 dlogz:40.225>0.1]
328it [00:57,  3.31it/s, bound:7 nc: 27 ncall:7.2e+03 eff:4.5% logz=-3.12+/-0.07 dlogz:40.201>0.1]
367it [00:57,  4.47it/s, bound:9 nc: 17 ncall:8.4e+03 eff:4.3% logz=-2.34+/-0.07 dlogz:39.327>0.1]
407it [00:58,  6.17it/s, bound:11 nc: 30 ncall:9.8e+03 eff:4.2% logz=-1.61+/-0.07 dlogz:38.498>0.1]
463it [00:58,  9.57it/s, bound:14 nc: 21 ncall:1.2e+04 eff:3.8% logz=-0.59+/-0.07 dlogz:37.334>0.1]
504it [00:58, 13.00it/s, bound:16 nc: 54 ncall:1.4e+04 eff:3.6% logz=0.17+/-0.07 dlogz:36.473>0.1] 
541it [00:58, 17.22it/s, bound:18 nc: 21 ncall:1.5e+04 eff:3.5% logz=0.75+/-0.07 dlogz:35.799>0.1]
