
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-731.93+/-0.13 dlogz:inf>0.1]
23it [00:00, 154.44it/s, bound:0 nc:  6 ncall:4.6e+02 eff:5.0% logz=-45.81+/-0.11 dlogz:78.368>0.1]
48it [00:00, 187.77it/s, bound:0 nc:  7 ncall:5.2e+02 eff:9.2% logz=-24.96+/-0.10 dlogz:63.758>0.1]
65it [00:00, 155.21it/s, bound:0 nc:  3 ncall:5.8e+02 eff:11.2% logz=-17.62+/-0.10 dlogz:56.124>0.1]
79it [00:00, 138.47it/s, bound:0 nc:  3 ncall:6.3e+02 eff:12.5% logz=-14.60+/-0.10 dlogz:52.989>0.1]
92it [00:00, 133.81it/s, bound:0 nc:  3 ncall:6.7e+02 eff:13.8% logz=-12.67+/-0.09 dlogz:50.952>0.1]
106it [00:01, 133.23it/s, bound:0 nc:  1 ncall:7.0e+02 eff:15.1% logz=-10.77+/-0.09 dlogz:49.025>0.1]
123it [00:01, 142.98it/s, bound:0 nc:  6 ncall:7.4e+02 eff:16.5% logz=-9.24+/-0.09 dlogz:47.432>0.1] 
138it [00:01, 139.20it/s, bound:0 nc:  2 ncall:7.8e+02 eff:17.6% logz=-8.20+/-0.08 dlogz:46.312>0.1]
152it [00:01, 118.75it/s, bound:0 nc:  2 ncall:8.3e+02 eff:18.4% logz=-7.53+/-0.08 dlogz:45.598>0.1]
165it [00:01, 90.07it/s, bound:0 nc:  1 ncall:9.0e+02 eff:18.4% logz=-6.97+/-0.08 dlogz:45.002>0.1] 
176it [00:01, 93.40it/s, bound:0 nc:  1 ncall:9.2e+02 eff:19.0% logz=-6.51+/-0.08 dlogz:44.518>0.1]
190it [00:01, 103.52it/s, bound:0 nc:  4 ncall:9.6e+02 eff:19.8% logz=-5.97+/-0.08 dlogz:43.942>0.1]
202it [00:01, 99.29it/s, bound:0 nc:  1 ncall:1.0e+03 eff:20.2% logz=-5.50+/-0.08 dlogz:43.441>0.1] 
213it [00:02, 89.76it/s, bound:0 nc:  3 ncall:1.0e+03 eff:20.3% logz=-5.06+/-0.08 dlogz:42.973>0.1]
224it [00:02, 88.95it/s, bound:0 nc:  1 ncall:1.1e+03 eff:20.7% logz=-4.69+/-0.07 dlogz:42.575>0.1]
238it [00:02, 87.36it/s, bound:0 nc:  8 ncall:1.1e+03 eff:21.2% logz=-4.24+/-0.07 dlogz:42.085>0.1]
249it [00:02, 84.01it/s, bound:0 nc:  8 ncall:1.2e+03 eff:21.4% logz=-3.93+/-0.07 dlogz:41.743>0.1]
258it [00:02, 74.54it/s, bound:0 nc:  4 ncall:1.2e+03 eff:21.4% logz=-3.69+/-0.07 dlogz:41.482>0.1]
266it [00:02, 66.94it/s, bound:0 nc: 17 ncall:1.3e+03 eff:21.2% logz=-3.49+/-0.07 dlogz:41.256>0.1]
275it [00:03, 64.85it/s, bound:0 nc:  6 ncall:1.3e+03 eff:21.4% logz=-3.27+/-0.07 dlogz:41.011>0.1]
284it [00:03, 64.13it/s, bound:0 nc: 13 ncall:1.3e+03 eff:21.4% logz=-3.06+/-0.07 dlogz:40.775>0.1]
292it [00:03, 58.60it/s, bound:0 nc:  9 ncall:1.4e+03 eff:21.4% logz=-2.88+/-0.07 dlogz:40.583>0.1]
299it [00:03, 57.97it/s, bound:0 nc:  4 ncall:1.4e+03 eff:21.3% logz=-2.73+/-0.07 dlogz:40.410>0.1]
309it [00:03, 65.36it/s, bound:0 nc:  7 ncall:1.4e+03 eff:21.4% logz=-2.52+/-0.07 dlogz:40.176>0.1]
320it [00:03, 73.83it/s, bound:0 nc:  2 ncall:1.5e+03 eff:21.6% logz=-2.30+/-0.07 dlogz:39.927>0.1]
330it [00:03, 75.34it/s, bound:0 nc: 26 ncall:1.5e+03 eff:21.6% logz=-2.11+/-0.07 dlogz:39.710>0.1]
338it [00:04, 60.22it/s, bound:0 nc: 17 ncall:1.6e+03 eff:21.4% logz=-1.95+/-0.07 dlogz:39.528>0.1]
348it [00:04, 63.65it/s, bound:0 nc: 12 ncall:1.6e+03 eff:21.3% logz=-1.75+/-0.07 dlogz:39.310>0.1]
355it [00:04, 57.71it/s, bound:0 nc:  3 ncall:1.7e+03 eff:21.2% logz=-1.62+/-0.07 dlogz:39.157>0.1]
362it [00:04, 49.16it/s, bound:0 nc:  1 ncall:1.7e+03 eff:20.9% logz=-1.48+/-0.07 dlogz:38.999>0.1]
371it [00:04, 51.11it/s, bound:0 nc: 19 ncall:1.8e+03 eff:20.9% logz=-1.31+/-0.07 dlogz:38.812>0.1]
377it [00:04, 47.82it/s, bound:0 nc:  3 ncall:1.8e+03 eff:20.9% logz=-1.20+/-0.07 dlogz:38.683>0.1]
384it [00:05, 46.14it/s, bound:0 nc: 18 ncall:1.8e+03 eff:20.8% logz=-1.06+/-0.07 dlogz:38.531>0.1]
389it [00:05, 42.52it/s, bound:0 nc:  1 ncall:1.9e+03 eff:20.7% logz=-0.97+/-0.07 dlogz:38.421>0.1]
394it [00:05, 43.41it/s, bound:0 nc:  1 ncall:1.9e+03 eff:20.5% logz=-0.87+/-0.07 dlogz:38.313>0.1]
399it [00:05, 43.54it/s, bound:0 nc: 10 ncall:2.0e+03 eff:20.3% logz=-0.78+/-0.07 dlogz:38.209>0.1]
406it [00:05, 45.46it/s, bound:0 nc:  6 ncall:2.0e+03 eff:20.3% logz=-0.66+/-0.07 dlogz:38.068>0.1]
415it [00:05, 47.04it/s, bound:0 nc: 29 ncall:2.1e+03 eff:20.1% logz=-0.51+/-0.07 dlogz:37.892>0.1]
420it [00:05, 45.70it/s, bound:0 nc: 40 ncall:2.1e+03 eff:19.9% logz=-0.42+/-0.07 dlogz:37.793>0.1]
425it [00:05, 42.77it/s, bound:0 nc:  7 ncall:2.2e+03 eff:19.8% logz=-0.34+/-0.07 dlogz:37.698>0.1]
433it [00:06, 50.48it/s, bound:0 nc:  4 ncall:2.2e+03 eff:19.8% logz=-0.21+/-0.07 dlogz:37.551>0.1]
439it [00:06, 52.40it/s, bound:0 nc:  1 ncall:2.2e+03 eff:19.7% logz=-0.11+/-0.07 dlogz:37.439>0.1]
445it [00:06, 51.26it/s, bound:0 nc:  9 ncall:2.3e+03 eff:19.6% logz=-0.02+/-0.07 dlogz:37.329>0.1]
451it [00:06, 49.35it/s, bound:0 nc:  4 ncall:2.3e+03 eff:19.6% logz=0.08+/-0.07 dlogz:37.215>0.1] 
457it [00:06, 47.58it/s, bound:0 nc:  2 ncall:2.3e+03 eff:19.5% logz=0.18+/-0.07 dlogz:37.097>0.1]
462it [00:06, 43.51it/s, bound:0 nc:  8 ncall:2.4e+03 eff:19.4% logz=0.27+/-0.07 dlogz:37.000>0.1]
471it [00:06, 52.21it/s, bound:0 nc:  1 ncall:2.4e+03 eff:19.5% logz=0.42+/-0.07 dlogz:36.824>0.1]
477it [00:07, 45.46it/s, bound:0 nc:  4 ncall:2.5e+03 eff:19.2% logz=0.53+/-0.07 dlogz:36.706>0.1]
484it [00:07, 49.78it/s, bound:0 nc:  3 ncall:2.5e+03 eff:19.2% logz=0.64+/-0.07 dlogz:36.572>0.1]
490it [00:07, 49.49it/s, bound:0 nc:  2 ncall:2.6e+03 eff:19.1% logz=0.74+/-0.07 dlogz:36.458>0.1]
496it [00:07, 48.84it/s, bound:0 nc: 16 ncall:2.6e+03 eff:19.0% logz=0.84+/-0.07 dlogz:36.343>0.1]
505it [00:07, 52.82it/s, bound:0 nc:  4 ncall:2.7e+03 eff:19.0% logz=0.98+/-0.07 dlogz:36.182>0.1]
511it [00:07, 50.81it/s, bound:0 nc:  8 ncall:2.7e+03 eff:18.9% logz=1.07+/-0.07 dlogz:36.079>0.1]
517it [00:07, 43.50it/s, bound:0 nc: 21 ncall:2.8e+03 eff:18.7% logz=1.15+/-0.07 dlogz:35.976>0.1]
523it [00:08, 41.67it/s, bound:0 nc: 24 ncall:2.8e+03 eff:18.6% logz=1.24+/-0.07 dlogz:35.872>0.1]
528it [00:08, 41.22it/s, bound:0 nc: 25 ncall:2.8e+03 eff:18.5% logz=1.32+/-0.07 dlogz:35.783>0.1]
533it [00:08, 42.97it/s, bound:0 nc: 19 ncall:2.9e+03 eff:18.5% logz=1.39+/-0.07 dlogz:35.698>0.1]
539it [00:08, 47.01it/s, bound:0 nc:  2 ncall:2.9e+03 eff:18.4% logz=1.48+/-0.07 dlogz:35.596>0.1]
544it [00:08, 41.16it/s, bound:0 nc: 21 ncall:3.0e+03 eff:18.2% logz=1.56+/-0.07 dlogz:35.507>0.1]
549it [00:08, 40.81it/s, bound:0 nc:  2 ncall:3.0e+03 eff:18.1% logz=1.63+/-0.07 dlogz:35.417>0.1]
555it [00:08, 43.99it/s, bound:0 nc:  4 ncall:3.1e+03 eff:18.1% logz=1.72+/-0.07 dlogz:35.311>0.1]
560it [00:08, 43.58it/s, bound:0 nc: 11 ncall:3.1e+03 eff:18.0% logz=1.80+/-0.07 dlogz:35.224>0.1]
565it [00:08, 42.45it/s, bound:0 nc:  8 ncall:3.2e+03 eff:17.9% logz=1.88+/-0.07 dlogz:35.135>0.1]
571it [00:09, 39.59it/s, bound:0 nc: 39 ncall:3.2e+03 eff:17.8% logz=1.97+/-0.07 dlogz:35.026>0.1]
581it [00:09, 45.98it/s, bound:0 nc: 19 ncall:3.3e+03 eff:17.8% logz=2.12+/-0.07 dlogz:34.847>0.1]
586it [00:09, 39.49it/s, bound:0 nc: 13 ncall:3.3e+03 eff:17.6% logz=2.20+/-0.07 dlogz:34.756>0.1]
591it [00:09, 36.56it/s, bound:0 nc:  3 ncall:3.4e+03 eff:17.4% logz=2.28+/-0.07 dlogz:34.666>0.1]
595it [00:09, 36.32it/s, bound:0 nc:  6 ncall:3.4e+03 eff:17.3% logz=2.34+/-0.07 dlogz:34.595>0.1]
601it [00:10, 32.30it/s, bound:0 nc: 47 ncall:3.5e+03 eff:17.2% logz=2.43+/-0.07 dlogz:34.487>0.1]
605it [00:10, 29.29it/s, bound:0 nc:  5 ncall:3.6e+03 eff:17.0% logz=2.49+/-0.07 dlogz:34.418>0.1]
611it [00:10, 31.58it/s, bound:0 nc: 18 ncall:3.6e+03 eff:16.9% logz=2.58+/-0.07 dlogz:34.315>0.1]
615it [00:10, 32.43it/s, bound:0 nc:  2 ncall:3.7e+03 eff:16.8% logz=2.64+/-0.07 dlogz:34.246>0.1]
619it [00:10, 20.05it/s, bound:0 nc: 14 ncall:3.7e+03 eff:16.6% logz=2.70+/-0.07 dlogz:34.177>0.1]
622it [00:11, 21.45it/s, bound:0 nc:  1 ncall:3.8e+03 eff:16.6% logz=2.74+/-0.07 dlogz:34.125>0.1]
625it [00:11, 22.52it/s, bound:0 nc:  2 ncall:3.8e+03 eff:16.6% logz=2.79+/-0.07 dlogz:34.074>0.1]
628it [00:11, 19.24it/s, bound:0 nc: 18 ncall:3.8e+03 eff:16.5% logz=2.83+/-0.07 dlogz:34.021>0.1]
631it [00:11, 16.95it/s, bound:0 nc:  5 ncall:3.9e+03 eff:16.3% logz=2.88+/-0.07 dlogz:33.966>0.1]
637it [00:11, 21.94it/s, bound:0 nc: 11 ncall:3.9e+03 eff:16.3% logz=2.98+/-0.07 dlogz:33.856>0.1]
640it [00:11, 23.24it/s, bound:0 nc:  1 ncall:3.9e+03 eff:16.3% logz=3.02+/-0.08 dlogz:33.800>0.1]
643it [00:12, 21.86it/s, bound:0 nc:  5 ncall:4.0e+03 eff:16.2% logz=3.07+/-0.08 dlogz:33.743>0.1]
646it [00:12, 19.77it/s, bound:0 nc: 28 ncall:4.0e+03 eff:16.1% logz=3.13+/-0.08 dlogz:33.683>0.1]
649it [00:12, 18.43it/s, bound:0 nc:  6 ncall:4.1e+03 eff:16.0% logz=3.18+/-0.08 dlogz:33.623>0.1]
651it [00:12, 17.72it/s, bound:0 nc:  1 ncall:4.1e+03 eff:16.0% logz=3.21+/-0.08 dlogz:33.583>0.1]
654it [00:12, 12.94it/s, bound:0 nc: 34 ncall:4.1e+03 eff:15.9% logz=3.27+/-0.08 dlogz:33.522>0.1]
656it [00:13, 12.93it/s, bound:0 nc: 16 ncall:4.1e+03 eff:15.9% logz=3.31+/-0.08 dlogz:33.480>0.1]
658it [00:13, 14.09it/s, bound:0 nc: 16 ncall:4.2e+03 eff:15.8% logz=3.34+/-0.08 dlogz:33.438>0.1]
660it [00:13, 14.54it/s, bound:0 nc:  7 ncall:4.2e+03 eff:15.8% logz=3.38+/-0.08 dlogz:33.397>0.1]
662it [00:13, 14.73it/s, bound:0 nc: 11 ncall:4.2e+03 eff:15.8% logz=3.41+/-0.08 dlogz:33.356>0.1]
