
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-691.22+/-0.13 dlogz:inf>0.1]
10it [00:00, 69.20it/s, bound:0 nc: 15 ncall:4.5e+02 eff:2.2% logz=-61.08+/-0.13 dlogz:100.525>0.1]
21it [00:00, 88.62it/s, bound:0 nc:  5 ncall:4.8e+02 eff:4.4% logz=-34.07+/-0.11 dlogz:67.070>0.1] 
29it [00:00, 79.88it/s, bound:0 nc: 19 ncall:5.3e+02 eff:5.5% logz=-25.59+/-0.11 dlogz:58.586>0.1]
37it [00:00, 75.32it/s, bound:0 nc:  9 ncall:5.7e+02 eff:6.5% logz=-21.58+/-0.11 dlogz:54.350>0.1]
51it [00:00, 81.85it/s, bound:0 nc: 27 ncall:6.4e+02 eff:8.0% logz=-16.15+/-0.10 dlogz:48.593>0.1]
59it [00:01, 77.28it/s, bound:0 nc:  3 ncall:6.7e+02 eff:8.8% logz=-13.04+/-0.11 dlogz:45.713>0.1]
68it [00:01, 80.66it/s, bound:0 nc:  4 ncall:7.0e+02 eff:9.7% logz=-9.25+/-0.10 dlogz:41.709>0.1] 
77it [00:01, 80.61it/s, bound:0 nc: 10 ncall:7.4e+02 eff:10.3% logz=-7.56+/-0.09 dlogz:39.907>0.1]
91it [00:01, 82.64it/s, bound:0 nc:  4 ncall:8.0e+02 eff:11.4% logz=-5.64+/-0.09 dlogz:37.906>0.1]
102it [00:01, 78.31it/s, bound:0 nc:  6 ncall:8.6e+02 eff:11.8% logz=-4.57+/-0.09 dlogz:36.794>0.1]
110it [00:01, 78.33it/s, bound:0 nc:  2 ncall:9.1e+02 eff:12.0% logz=-3.86+/-0.09 dlogz:36.057>0.1]
118it [00:01, 66.98it/s, bound:0 nc:  8 ncall:9.7e+02 eff:12.2% logz=-3.32+/-0.08 dlogz:35.465>0.1]
128it [00:02, 63.86it/s, bound:0 nc: 20 ncall:1.0e+03 eff:12.6% logz=-2.90+/-0.08 dlogz:34.998>0.1]
135it [00:02, 60.24it/s, bound:0 nc:  5 ncall:1.1e+03 eff:12.8% logz=-2.68+/-0.08 dlogz:38.470>0.1]
142it [00:02, 55.29it/s, bound:0 nc:  4 ncall:1.1e+03 eff:12.7% logz=-2.51+/-0.07 dlogz:38.271>0.1]
151it [00:02, 62.23it/s, bound:0 nc:  3 ncall:1.1e+03 eff:13.2% logz=-2.26+/-0.07 dlogz:38.008>0.1]
164it [00:02, 77.29it/s, bound:0 nc:  5 ncall:1.2e+03 eff:13.9% logz=-1.82+/-0.07 dlogz:37.538>0.1]
173it [00:02, 71.27it/s, bound:0 nc: 13 ncall:1.2e+03 eff:13.9% logz=-1.46+/-0.07 dlogz:37.166>0.1]
181it [00:02, 72.22it/s, bound:0 nc:  1 ncall:1.3e+03 eff:14.0% logz=-1.08+/-0.07 dlogz:36.776>0.1]
189it [00:02, 70.98it/s, bound:0 nc:  8 ncall:1.3e+03 eff:14.1% logz=-0.65+/-0.08 dlogz:36.321>0.1]
197it [00:03, 43.31it/s, bound:0 nc: 18 ncall:1.4e+03 eff:13.8% logz=-0.24+/-0.08 dlogz:35.895>0.1]
203it [00:03, 40.94it/s, bound:0 nc:  3 ncall:1.5e+03 eff:13.8% logz=0.03+/-0.08 dlogz:35.594>0.1] 
213it [00:03, 48.48it/s, bound:0 nc:  2 ncall:1.5e+03 eff:14.2% logz=0.44+/-0.08 dlogz:35.161>0.1]
219it [00:03, 45.54it/s, bound:0 nc: 16 ncall:1.5e+03 eff:14.1% logz=0.67+/-0.08 dlogz:34.914>0.1]
225it [00:03, 41.01it/s, bound:0 nc:  7 ncall:1.6e+03 eff:14.0% logz=0.91+/-0.08 dlogz:34.664>0.1]
231it [00:04, 38.14it/s, bound:0 nc: 21 ncall:1.7e+03 eff:13.9% logz=1.13+/-0.08 dlogz:34.420>0.1]
238it [00:04, 37.05it/s, bound:0 nc: 33 ncall:1.7e+03 eff:13.9% logz=1.38+/-0.08 dlogz:34.153>0.1]
248it [00:04, 48.66it/s, bound:0 nc:  8 ncall:1.7e+03 eff:14.2% logz=1.72+/-0.08 dlogz:33.786>0.1]
254it [00:04, 42.24it/s, bound:0 nc:  1 ncall:1.8e+03 eff:14.1% logz=1.93+/-0.08 dlogz:33.563>0.1]
259it [00:04, 39.77it/s, bound:0 nc: 11 ncall:1.8e+03 eff:14.0% logz=2.11+/-0.08 dlogz:33.372>0.1]
265it [00:04, 43.38it/s, bound:0 nc:  7 ncall:1.9e+03 eff:14.1% logz=2.32+/-0.08 dlogz:33.142>0.1]
270it [00:05, 43.98it/s, bound:0 nc: 17 ncall:1.9e+03 eff:14.0% logz=2.50+/-0.08 dlogz:32.957>0.1]
275it [00:05, 43.61it/s, bound:0 nc: 13 ncall:2.0e+03 eff:14.0% logz=2.65+/-0.08 dlogz:32.784>0.1]
284it [00:05, 47.06it/s, bound:0 nc: 11 ncall:2.0e+03 eff:14.1% logz=2.92+/-0.07 dlogz:32.499>0.1]
290it [00:05, 41.34it/s, bound:0 nc: 11 ncall:2.0e+03 eff:14.2% logz=3.09+/-0.07 dlogz:32.306>0.1]
295it [00:05, 28.29it/s, bound:0 nc:  6 ncall:2.1e+03 eff:14.0% logz=3.24+/-0.07 dlogz:32.147>0.1]
299it [00:06, 23.83it/s, bound:0 nc:  2 ncall:2.1e+03 eff:14.0% logz=3.36+/-0.07 dlogz:32.020>0.1]
303it [00:06, 26.25it/s, bound:0 nc: 11 ncall:2.2e+03 eff:14.0% logz=3.47+/-0.07 dlogz:31.897>0.1]
307it [00:06, 23.26it/s, bound:0 nc: 10 ncall:2.2e+03 eff:13.9% logz=3.58+/-0.07 dlogz:31.774>0.1]
310it [00:06, 23.91it/s, bound:0 nc:  4 ncall:2.2e+03 eff:14.0% logz=3.67+/-0.07 dlogz:31.682>0.1]
