
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-5502.95+/-0.13 dlogz:inf>0.1]
50it [00:00, 480.51it/s, bound:0 nc:  2 ncall:5.2e+02 eff:9.6% logz=-86.96+/-0.12 dlogz:125.199>0.1]
100it [00:00, 460.05it/s, bound:0 nc:  5 ncall:6.6e+02 eff:15.1% logz=-24.52+/-0.10 dlogz:61.428>0.1]
136it [00:00, 390.61it/s, bound:0 nc:  2 ncall:7.8e+02 eff:17.4% logz=-12.99+/-0.10 dlogz:49.731>0.1]
180it [00:00, 408.48it/s, bound:0 nc:  9 ncall:9.1e+02 eff:19.8% logz=-8.11+/-0.09 dlogz:48.156>0.1] 
218it [00:00, 333.83it/s, bound:0 nc:  9 ncall:1.1e+03 eff:19.7% logz=-5.86+/-0.08 dlogz:45.765>0.1]
252it [00:00, 302.06it/s, bound:0 nc:  2 ncall:1.3e+03 eff:19.7% logz=-4.58+/-0.08 dlogz:44.399>0.1]
283it [00:01, 275.36it/s, bound:0 nc: 12 ncall:1.4e+03 eff:20.0% logz=-3.64+/-0.07 dlogz:43.369>0.1]
311it [00:01, 210.95it/s, bound:0 nc: 19 ncall:1.6e+03 eff:19.8% logz=-2.96+/-0.07 dlogz:42.618>0.1]
335it [00:01, 203.62it/s, bound:0 nc:  4 ncall:1.7e+03 eff:20.3% logz=-2.43+/-0.07 dlogz:42.028>0.1]
357it [00:01, 170.15it/s, bound:0 nc:  1 ncall:1.8e+03 eff:19.9% logz=-1.94+/-0.07 dlogz:41.488>0.1]
376it [00:01, 142.20it/s, bound:0 nc:  5 ncall:2.0e+03 eff:19.3% logz=-1.55+/-0.07 dlogz:41.044>0.1]
392it [00:01, 138.54it/s, bound:0 nc:  2 ncall:2.1e+03 eff:19.0% logz=-1.19+/-0.07 dlogz:40.649>0.1]
407it [00:02, 133.05it/s, bound:0 nc:  3 ncall:2.1e+03 eff:18.9% logz=-0.89+/-0.07 dlogz:40.311>0.1]
421it [00:02, 117.05it/s, bound:0 nc: 14 ncall:2.3e+03 eff:18.6% logz=-0.64+/-0.07 dlogz:40.024>0.1]
434it [00:02, 108.29it/s, bound:0 nc:  2 ncall:2.4e+03 eff:18.3% logz=-0.42+/-0.07 dlogz:39.770>0.1]
446it [00:02, 98.65it/s, bound:0 nc: 15 ncall:2.5e+03 eff:18.1% logz=-0.22+/-0.07 dlogz:39.538>0.1] 
457it [00:02, 95.59it/s, bound:0 nc:  1 ncall:2.6e+03 eff:17.9% logz=-0.03+/-0.07 dlogz:39.319>0.1]
467it [00:02, 93.45it/s, bound:0 nc: 11 ncall:2.6e+03 eff:17.9% logz=0.13+/-0.07 dlogz:39.133>0.1] 
479it [00:02, 96.40it/s, bound:0 nc:  3 ncall:2.7e+03 eff:17.9% logz=0.33+/-0.07 dlogz:38.909>0.1]
489it [00:03, 81.54it/s, bound:0 nc: 21 ncall:2.8e+03 eff:17.6% logz=0.49+/-0.07 dlogz:38.724>0.1]
