
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  3 ncall:4.0e+02 eff:0.2% logz=-10.66+/-0.13 dlogz:inf>0.1]
61it [00:00, 599.12it/s, bound:0 nc:  1 ncall:5.2e+02 eff:11.7% logz=0.10+/-0.08 dlogz:38.399>0.1]
115it [00:00, 526.83it/s, bound:0 nc:  2 ncall:6.8e+02 eff:16.9% logz=2.48+/-0.07 dlogz:35.877>0.1]
162it [00:00, 470.57it/s, bound:0 nc:  3 ncall:8.0e+02 eff:20.2% logz=4.17+/-0.07 dlogz:34.062>0.1]
204it [00:00, 407.61it/s, bound:0 nc:  6 ncall:9.4e+02 eff:21.6% logz=5.66+/-0.07 dlogz:32.463>0.1]
242it [00:00, 360.04it/s, bound:0 nc:  1 ncall:1.1e+03 eff:22.2% logz=7.15+/-0.08 dlogz:30.886>0.1]
277it [00:00, 324.66it/s, bound:0 nc:  4 ncall:1.2e+03 eff:22.9% logz=8.54+/-0.08 dlogz:29.408>0.1]
309it [00:01, 322.07it/s, bound:0 nc:  8 ncall:1.3e+03 eff:23.1% logz=9.77+/-0.08 dlogz:28.107>0.1]
341it [00:01, 266.18it/s, bound:0 nc:  7 ncall:1.5e+03 eff:23.2% logz=11.13+/-0.08 dlogz:26.655>0.1]
369it [00:01, 237.90it/s, bound:0 nc:  1 ncall:1.6e+03 eff:22.7% logz=11.97+/-0.08 dlogz:25.745>0.1]
394it [00:01, 234.89it/s, bound:0 nc: 11 ncall:1.8e+03 eff:22.2% logz=12.71+/-0.08 dlogz:24.940>0.1]
419it [00:01, 203.51it/s, bound:0 nc:  3 ncall:1.9e+03 eff:21.7% logz=13.42+/-0.08 dlogz:24.166>0.1]
441it [00:01, 191.29it/s, bound:0 nc:  3 ncall:2.0e+03 eff:21.8% logz=14.04+/-0.08 dlogz:23.488>0.1]
465it [00:01, 194.21it/s, bound:0 nc:  6 ncall:2.1e+03 eff:21.9% logz=14.63+/-0.08 dlogz:22.835>0.1]
485it [00:02, 166.82it/s, bound:0 nc:  1 ncall:2.3e+03 eff:21.3% logz=15.14+/-0.08 dlogz:22.275>0.1]
503it [00:02, 138.60it/s, bound:0 nc: 14 ncall:2.4e+03 eff:20.6% logz=15.60+/-0.08 dlogz:21.770>0.1]
518it [00:02, 118.22it/s, bound:0 nc:  5 ncall:2.6e+03 eff:20.2% logz=15.98+/-0.08 dlogz:21.361>0.1]
533it [00:02, 122.81it/s, bound:0 nc:  2 ncall:2.6e+03 eff:20.2% logz=16.45+/-0.08 dlogz:20.850>0.1]
547it [00:02, 101.19it/s, bound:0 nc:  4 ncall:2.8e+03 eff:19.8% logz=16.91+/-0.08 dlogz:20.362>0.1]
559it [00:02, 96.28it/s, bound:0 nc:  8 ncall:2.8e+03 eff:19.7% logz=17.28+/-0.08 dlogz:19.954>0.1] 
570it [00:03, 82.24it/s, bound:0 nc: 14 ncall:3.0e+03 eff:19.2% logz=17.63+/-0.08 dlogz:19.582>0.1]
579it [00:03, 82.37it/s, bound:0 nc:  5 ncall:3.0e+03 eff:19.1% logz=17.90+/-0.08 dlogz:19.285>0.1]
588it [00:03, 76.72it/s, bound:0 nc: 16 ncall:3.2e+03 eff:18.7% logz=18.18+/-0.08 dlogz:18.982>0.1]
604it [00:03, 90.52it/s, bound:0 nc: 11 ncall:3.3e+03 eff:18.5% logz=18.62+/-0.08 dlogz:18.498>0.1]
616it [00:03, 90.05it/s, bound:0 nc: 40 ncall:3.4e+03 eff:18.1% logz=18.97+/-0.09 dlogz:18.124>0.1]
626it [00:04, 48.62it/s, bound:0 nc: 10 ncall:3.6e+03 eff:17.6% logz=19.23+/-0.09 dlogz:17.831>0.1]
640it [00:04, 59.65it/s, bound:0 nc: 11 ncall:3.6e+03 eff:17.6% logz=19.57+/-0.08 dlogz:17.667>0.1]
649it [00:04, 58.14it/s, bound:0 nc:  5 ncall:3.7e+03 eff:17.3% logz=19.79+/-0.09 dlogz:17.425>0.1]
657it [00:04, 59.83it/s, bound:0 nc: 17 ncall:3.8e+03 eff:17.2% logz=19.98+/-0.08 dlogz:17.213>0.1]
665it [00:04, 48.10it/s, bound:0 nc:  6 ncall:3.9e+03 eff:17.2% logz=20.17+/-0.08 dlogz:17.007>0.1]
671it [00:05, 41.83it/s, bound:0 nc:  5 ncall:3.9e+03 eff:17.1% logz=20.30+/-0.08 dlogz:16.860>0.1]
676it [00:05, 32.38it/s, bound:0 nc:  5 ncall:4.0e+03 eff:16.9% logz=20.41+/-0.08 dlogz:16.739>0.1]
681it [00:05, 29.48it/s, bound:0 nc: 40 ncall:4.1e+03 eff:16.7% logz=20.51+/-0.08 dlogz:16.622>0.1]
