
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-2973.12+/-0.13 dlogz:inf>0.1]
67it [00:00, 608.62it/s, bound:0 nc:  1 ncall:4.8e+02 eff:13.9% logz=-868.57+/-0.12 dlogz:905.654>0.1]
134it [00:00, 632.48it/s, bound:0 nc:  2 ncall:5.6e+02 eff:23.8% logz=-482.03+/-0.13 dlogz:519.887>0.1]
188it [00:00, 530.96it/s, bound:0 nc:  1 ncall:6.4e+02 eff:29.3% logz=-367.51+/-0.13 dlogz:406.049>0.1]
235it [00:00, 455.26it/s, bound:0 nc:  3 ncall:7.2e+02 eff:32.6% logz=-268.32+/-0.12 dlogz:304.355>0.1]
278it [00:00, 425.45it/s, bound:0 nc:  1 ncall:8.0e+02 eff:34.7% logz=-206.98+/-0.12 dlogz:242.667>0.1]
319it [00:00, 390.76it/s, bound:0 nc:  1 ncall:8.9e+02 eff:35.8% logz=-168.13+/-0.12 dlogz:203.520>0.1]
358it [00:00, 372.02it/s, bound:0 nc:  4 ncall:9.7e+02 eff:36.8% logz=-139.86+/-0.12 dlogz:175.013>0.1]
395it [00:01, 331.15it/s, bound:0 nc:  1 ncall:1.1e+03 eff:37.5% logz=-108.05+/-0.12 dlogz:143.371>0.1]
429it [00:01, 308.19it/s, bound:0 nc:  2 ncall:1.1e+03 eff:37.4% logz=-86.16+/-0.12 dlogz:121.081>0.1] 
460it [00:01, 276.22it/s, bound:0 nc:  2 ncall:1.2e+03 eff:36.9% logz=-70.97+/-0.11 dlogz:105.693>0.1]
488it [00:01, 228.55it/s, bound:0 nc:  3 ncall:1.3e+03 eff:36.3% logz=-56.03+/-0.12 dlogz:90.842>0.1] 
513it [00:01, 202.63it/s, bound:0 nc:  6 ncall:1.4e+03 eff:35.6% logz=-44.63+/-0.11 dlogz:79.108>0.1]
535it [00:01, 198.00it/s, bound:0 nc:  1 ncall:1.5e+03 eff:35.7% logz=-40.43+/-0.11 dlogz:74.908>0.1]
556it [00:02, 149.59it/s, bound:0 nc: 12 ncall:1.6e+03 eff:35.1% logz=-35.72+/-0.11 dlogz:70.139>0.1]
573it [00:02, 141.88it/s, bound:0 nc: 15 ncall:1.7e+03 eff:34.4% logz=-32.20+/-0.11 dlogz:66.465>0.1]
589it [00:02, 139.73it/s, bound:0 nc:  3 ncall:1.7e+03 eff:34.0% logz=-28.48+/-0.11 dlogz:62.833>0.1]
606it [00:02, 135.37it/s, bound:0 nc: 17 ncall:1.8e+03 eff:33.5% logz=-24.99+/-0.11 dlogz:59.196>0.1]
621it [00:02, 132.92it/s, bound:0 nc: 11 ncall:1.9e+03 eff:33.2% logz=-21.18+/-0.11 dlogz:55.419>0.1]
635it [00:02, 109.97it/s, bound:0 nc:  5 ncall:2.0e+03 eff:32.5% logz=-17.46+/-0.11 dlogz:51.654>0.1]
650it [00:02, 108.57it/s, bound:0 nc:  5 ncall:2.0e+03 eff:32.4% logz=-14.78+/-0.11 dlogz:48.913>0.1]
662it [00:03, 86.97it/s, bound:0 nc:  4 ncall:2.1e+03 eff:31.8% logz=-13.24+/-0.11 dlogz:47.271>0.1] 
672it [00:03, 87.19it/s, bound:0 nc: 12 ncall:2.1e+03 eff:31.4% logz=-11.87+/-0.11 dlogz:45.908>0.1]
682it [00:03, 86.56it/s, bound:0 nc:  6 ncall:2.2e+03 eff:31.5% logz=-10.74+/-0.11 dlogz:44.723>0.1]
692it [00:03, 88.63it/s, bound:0 nc:  1 ncall:2.2e+03 eff:31.2% logz=-9.77+/-0.11 dlogz:43.710>0.1] 
702it [00:03, 61.72it/s, bound:0 nc:  5 ncall:2.3e+03 eff:30.5% logz=-8.53+/-0.11 dlogz:42.518>0.1]
710it [00:03, 63.24it/s, bound:0 nc:  1 ncall:2.3e+03 eff:30.3% logz=-7.23+/-0.11 dlogz:41.189>0.1]
723it [00:04, 70.67it/s, bound:0 nc:  6 ncall:2.4e+03 eff:30.3% logz=-5.61+/-0.11 dlogz:39.488>0.1]
731it [00:04, 59.86it/s, bound:0 nc:  6 ncall:2.4e+03 eff:29.9% logz=-4.51+/-0.11 dlogz:38.444>0.1]
738it [00:04, 53.85it/s, bound:0 nc:  6 ncall:2.5e+03 eff:29.3% logz=-3.38+/-0.11 dlogz:37.246>0.1]
744it [00:04, 44.11it/s, bound:0 nc:  3 ncall:2.6e+03 eff:29.0% logz=-2.45+/-0.11 dlogz:36.312>0.1]
752it [00:04, 41.29it/s, bound:0 nc: 25 ncall:2.6e+03 eff:28.7% logz=-1.48+/-0.11 dlogz:35.306>0.1]
757it [00:05, 40.95it/s, bound:0 nc: 16 ncall:2.7e+03 eff:28.4% logz=-0.83+/-0.11 dlogz:34.640>0.1]
763it [00:05, 42.56it/s, bound:0 nc:  7 ncall:2.7e+03 eff:28.2% logz=-0.24+/-0.11 dlogz:34.418>0.1]
768it [00:05, 40.40it/s, bound:0 nc:  8 ncall:2.7e+03 eff:27.9% logz=0.25+/-0.11 dlogz:33.916>0.1] 
776it [00:05, 44.70it/s, bound:0 nc: 12 ncall:2.8e+03 eff:27.8% logz=0.97+/-0.11 dlogz:33.179>0.1]
784it [00:05, 47.69it/s, bound:0 nc:  5 ncall:2.8e+03 eff:27.8% logz=1.69+/-0.11 dlogz:32.441>0.1]
796it [00:05, 49.28it/s, bound:0 nc: 21 ncall:2.9e+03 eff:27.4% logz=3.16+/-0.11 dlogz:30.944>0.1]
802it [00:05, 48.56it/s, bound:0 nc: 17 ncall:3.0e+03 eff:27.2% logz=3.75+/-0.11 dlogz:30.333>0.1]
807it [00:06, 45.78it/s, bound:0 nc:  2 ncall:3.0e+03 eff:27.0% logz=4.19+/-0.11 dlogz:29.877>0.1]
812it [00:06, 44.16it/s, bound:0 nc:  8 ncall:3.0e+03 eff:26.8% logz=4.64+/-0.11 dlogz:29.405>0.1]
817it [00:06, 41.11it/s, bound:0 nc:  9 ncall:3.1e+03 eff:26.5% logz=5.10+/-0.11 dlogz:28.941>0.1]
