
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-8747.02+/-0.13 dlogz:inf>0.1]
123it [00:00, 1088.37it/s, bound:0 nc:  1 ncall:5.4e+02 eff:22.7% logz=-43.42+/-0.11 dlogz:83.407>0.1]
207it [00:00, 932.81it/s, bound:0 nc:  3 ncall:6.6e+02 eff:31.3% logz=-15.26+/-0.10 dlogz:54.651>0.1] 
279it [00:00, 817.17it/s, bound:0 nc:  1 ncall:8.1e+02 eff:34.4% logz=-5.82+/-0.09 dlogz:44.962>0.1] 
350it [00:00, 771.32it/s, bound:0 nc:  3 ncall:9.4e+02 eff:37.1% logz=0.28+/-0.09 dlogz:38.628>0.1] 
421it [00:00, 641.57it/s, bound:0 nc:  3 ncall:1.1e+03 eff:36.7% logz=3.00+/-0.08 dlogz:35.700>0.1]
484it [00:00, 552.64it/s, bound:0 nc:  2 ncall:1.3e+03 eff:35.9% logz=4.73+/-0.08 dlogz:33.816>0.1]
540it [00:00, 517.44it/s, bound:0 nc:  7 ncall:1.5e+03 eff:35.6% logz=6.31+/-0.08 dlogz:32.500>0.1]
593it [00:01, 430.29it/s, bound:0 nc:  3 ncall:1.7e+03 eff:34.4% logz=7.52+/-0.08 dlogz:31.161>0.1]
639it [00:01, 389.81it/s, bound:0 nc:  1 ncall:1.9e+03 eff:33.5% logz=8.77+/-0.08 dlogz:29.802>0.1]
680it [00:01, 345.39it/s, bound:0 nc:  6 ncall:2.1e+03 eff:32.6% logz=9.84+/-0.09 dlogz:28.627>0.1]
716it [00:01, 272.08it/s, bound:0 nc:  4 ncall:2.3e+03 eff:31.4% logz=10.60+/-0.09 dlogz:27.773>0.1]
746it [00:01, 243.20it/s, bound:0 nc:  1 ncall:2.4e+03 eff:30.8% logz=11.20+/-0.09 dlogz:27.097>0.1]
773it [00:02, 213.23it/s, bound:0 nc: 13 ncall:2.6e+03 eff:30.1% logz=11.73+/-0.09 dlogz:26.502>0.1]
796it [00:02, 194.84it/s, bound:0 nc:  9 ncall:2.7e+03 eff:29.7% logz=12.22+/-0.09 dlogz:25.951>0.1]
817it [00:02, 196.44it/s, bound:0 nc: 14 ncall:2.8e+03 eff:29.4% logz=12.76+/-0.09 dlogz:25.368>0.1]
838it [00:02, 157.97it/s, bound:0 nc:  1 ncall:2.9e+03 eff:28.6% logz=13.31+/-0.09 dlogz:24.762>0.1]
856it [00:02, 126.10it/s, bound:0 nc:  2 ncall:3.1e+03 eff:27.6% logz=13.72+/-0.09 dlogz:24.301>0.1]
872it [00:02, 126.07it/s, bound:0 nc: 10 ncall:3.2e+03 eff:27.4% logz=14.14+/-0.09 dlogz:23.849>0.1]
886it [00:03, 107.68it/s, bound:0 nc: 10 ncall:3.3e+03 eff:26.9% logz=14.50+/-0.09 dlogz:23.448>0.1]
