
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-3.64+/-0.13 dlogz:inf>0.1]
96it [00:00, 946.54it/s, bound:0 nc:  1 ncall:6.2e+02 eff:15.5% logz=9.62+/-0.07 dlogz:29.601>0.1]
154it [00:00, 720.42it/s, bound:0 nc: 11 ncall:8.0e+02 eff:19.2% logz=11.32+/-0.07 dlogz:27.744>0.1]
211it [00:00, 621.81it/s, bound:0 nc:  7 ncall:1.0e+03 eff:20.6% logz=12.77+/-0.07 dlogz:26.149>0.1]
266it [00:00, 577.29it/s, bound:0 nc:  1 ncall:1.2e+03 eff:21.3% logz=14.01+/-0.07 dlogz:24.764>0.1]
320it [00:00, 555.32it/s, bound:0 nc:  1 ncall:1.5e+03 eff:21.9% logz=15.06+/-0.07 dlogz:23.578>0.1]
374it [00:00, 538.91it/s, bound:0 nc: 14 ncall:1.7e+03 eff:22.1% logz=15.97+/-0.07 dlogz:22.532>0.1]
426it [00:00, 473.42it/s, bound:0 nc:  6 ncall:2.0e+03 eff:21.7% logz=16.92+/-0.07 dlogz:21.455>0.1]
474it [00:01, 430.44it/s, bound:0 nc:  1 ncall:2.3e+03 eff:20.9% logz=17.93+/-0.07 dlogz:20.327>0.1]
518it [00:01, 404.22it/s, bound:0 nc:  8 ncall:2.5e+03 eff:20.5% logz=18.88+/-0.08 dlogz:19.268>0.1]
559it [00:01, 400.83it/s, bound:0 nc:  6 ncall:2.7e+03 eff:20.3% logz=19.69+/-0.08 dlogz:18.358>0.1]
600it [00:01, 329.80it/s, bound:0 nc:  5 ncall:3.1e+03 eff:19.5% logz=20.54+/-0.08 dlogz:17.445>0.1]
635it [00:01, 267.43it/s, bound:0 nc: 23 ncall:3.4e+03 eff:18.8% logz=21.25+/-0.08 dlogz:16.649>0.1]
665it [00:01, 229.99it/s, bound:0 nc: 30 ncall:3.6e+03 eff:18.3% logz=21.80+/-0.08 dlogz:16.022>0.1]
691it [00:02, 192.84it/s, bound:0 nc:  5 ncall:3.9e+03 eff:17.6% logz=22.23+/-0.08 dlogz:15.529>0.1]
713it [00:02, 162.15it/s, bound:0 nc:  4 ncall:4.2e+03 eff:17.0% logz=22.54+/-0.08 dlogz:15.155>0.1]
732it [00:02, 134.81it/s, bound:0 nc: 12 ncall:4.4e+03 eff:16.7% logz=22.80+/-0.08 dlogz:14.847>0.1]
748it [00:02, 112.15it/s, bound:0 nc: 15 ncall:4.6e+03 eff:16.3% logz=23.01+/-0.08 dlogz:14.601>0.1]
761it [00:02, 96.30it/s, bound:0 nc:  4 ncall:4.7e+03 eff:16.1% logz=23.17+/-0.08 dlogz:14.407>0.1] 
772it [00:03, 94.54it/s, bound:0 nc:  7 ncall:4.8e+03 eff:16.0% logz=23.30+/-0.08 dlogz:14.246>0.1]
783it [00:03, 79.44it/s, bound:0 nc:  5 ncall:5.0e+03 eff:15.6% logz=23.43+/-0.08 dlogz:14.088>0.1]
792it [00:03, 80.31it/s, bound:0 nc:  5 ncall:5.1e+03 eff:15.5% logz=23.54+/-0.08 dlogz:13.960>0.1]
