
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  4 ncall:4.0e+02 eff:0.2% logz=-120.64+/-0.13 dlogz:inf>0.1]
27it [00:00, 259.66it/s, bound:0 nc:  2 ncall:4.6e+02 eff:5.9% logz=-52.75+/-0.11 dlogz:94.009>0.1]
51it [00:00, 241.68it/s, bound:0 nc:  5 ncall:5.2e+02 eff:9.8% logz=-40.43+/-0.10 dlogz:81.312>0.1]
76it [00:00, 244.59it/s, bound:0 nc:  2 ncall:5.8e+02 eff:13.1% logz=-33.39+/-0.10 dlogz:74.245>0.1]
110it [00:00, 271.70it/s, bound:0 nc:  2 ncall:6.6e+02 eff:16.6% logz=-17.58+/-0.11 dlogz:58.386>0.1]
135it [00:00, 253.57it/s, bound:0 nc:  2 ncall:7.4e+02 eff:18.2% logz=-11.02+/-0.10 dlogz:51.614>0.1]
164it [00:00, 247.58it/s, bound:0 nc:  1 ncall:8.4e+02 eff:19.5% logz=-5.36+/-0.10 dlogz:45.890>0.1] 
192it [00:00, 252.34it/s, bound:0 nc:  1 ncall:9.2e+02 eff:20.8% logz=-1.26+/-0.09 dlogz:41.645>0.1]
217it [00:01, 248.62it/s, bound:0 nc:  3 ncall:1.0e+03 eff:21.4% logz=1.51+/-0.09 dlogz:38.822>0.1] 
242it [00:01, 218.84it/s, bound:0 nc:  3 ncall:1.1e+03 eff:21.6% logz=4.63+/-0.09 dlogz:35.722>0.1]
265it [00:01, 207.18it/s, bound:0 nc:  2 ncall:1.2e+03 eff:22.2% logz=7.26+/-0.09 dlogz:33.030>0.1]
286it [00:01, 165.04it/s, bound:0 nc:  6 ncall:1.3e+03 eff:21.9% logz=8.97+/-0.09 dlogz:31.242>0.1]
304it [00:01, 152.09it/s, bound:0 nc:  8 ncall:1.4e+03 eff:21.8% logz=10.15+/-0.09 dlogz:29.993>0.1]
321it [00:01, 144.91it/s, bound:0 nc:  1 ncall:1.5e+03 eff:21.9% logz=11.48+/-0.09 dlogz:28.642>0.1]
337it [00:01, 130.35it/s, bound:0 nc: 13 ncall:1.5e+03 eff:21.9% logz=12.53+/-0.09 dlogz:27.534>0.1]
351it [00:02, 113.93it/s, bound:0 nc:  5 ncall:1.6e+03 eff:21.5% logz=13.29+/-0.09 dlogz:26.729>0.1]
363it [00:02, 110.76it/s, bound:0 nc:  1 ncall:1.7e+03 eff:21.5% logz=13.94+/-0.09 dlogz:26.062>0.1]
375it [00:02, 96.76it/s, bound:0 nc:  7 ncall:1.7e+03 eff:21.5% logz=14.59+/-0.09 dlogz:25.365>0.1] 
386it [00:02, 94.71it/s, bound:0 nc:  3 ncall:1.8e+03 eff:21.3% logz=15.09+/-0.09 dlogz:24.844>0.1]
396it [00:02, 81.85it/s, bound:0 nc:  5 ncall:1.9e+03 eff:21.1% logz=15.59+/-0.09 dlogz:24.315>0.1]
405it [00:02, 66.75it/s, bound:0 nc:  1 ncall:1.9e+03 eff:20.9% logz=16.04+/-0.09 dlogz:23.848>0.1]
417it [00:03, 73.03it/s, bound:0 nc:  5 ncall:2.0e+03 eff:21.0% logz=16.59+/-0.09 dlogz:23.254>0.1]
432it [00:03, 81.73it/s, bound:0 nc:  7 ncall:2.0e+03 eff:21.1% logz=17.24+/-0.09 dlogz:22.572>0.1]
441it [00:03, 74.58it/s, bound:0 nc:  3 ncall:2.1e+03 eff:20.8% logz=17.60+/-0.09 dlogz:22.183>0.1]
449it [00:03, 66.86it/s, bound:0 nc:  9 ncall:2.2e+03 eff:20.5% logz=17.89+/-0.08 dlogz:21.874>0.1]
