
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-2300.77+/-0.13 dlogz:inf>0.1]
20it [00:00, 169.35it/s, bound:0 nc:  1 ncall:4.2e+02 eff:4.8% logz=-982.78+/-0.13 dlogz:1028.171>0.1]
38it [00:00, 141.31it/s, bound:0 nc:  1 ncall:4.4e+02 eff:8.6% logz=-693.28+/-0.13 dlogz:732.822>0.1] 
73it [00:01, 170.01it/s, bound:0 nc:  1 ncall:4.8e+02 eff:15.2% logz=-330.55+/-0.13 dlogz:371.720>0.1]
109it [00:01, 186.63it/s, bound:0 nc:  1 ncall:5.2e+02 eff:20.9% logz=-161.84+/-0.13 dlogz:204.621>0.1]
139it [00:01, 191.14it/s, bound:0 nc:  1 ncall:5.6e+02 eff:24.8% logz=-54.73+/-0.11 dlogz:90.076>0.1]  
171it [00:01, 193.13it/s, bound:0 nc:  2 ncall:6.0e+02 eff:28.4% logz=-31.75+/-0.10 dlogz:71.770>0.1]
203it [00:01, 191.72it/s, bound:0 nc:  1 ncall:6.4e+02 eff:31.7% logz=-26.26+/-0.09 dlogz:66.061>0.1]
226it [00:01, 171.73it/s, bound:0 nc:  1 ncall:6.8e+02 eff:33.2% logz=-24.14+/-0.09 dlogz:63.835>0.1]
253it [00:02, 166.03it/s, bound:0 nc:  6 ncall:7.3e+02 eff:34.8% logz=-22.53+/-0.08 dlogz:62.144>0.1]
271it [00:02, 145.98it/s, bound:0 nc:  2 ncall:7.6e+02 eff:35.6% logz=-21.52+/-0.08 dlogz:61.080>0.1]
296it [00:02, 143.47it/s, bound:0 nc:  4 ncall:8.0e+02 eff:36.9% logz=-20.03+/-0.09 dlogz:59.541>0.1]
319it [00:02, 138.90it/s, bound:0 nc:  3 ncall:8.4e+02 eff:37.8% logz=-18.99+/-0.08 dlogz:58.424>0.1]
338it [00:02, 133.51it/s, bound:0 nc:  3 ncall:8.8e+02 eff:38.3% logz=-18.17+/-0.08 dlogz:57.556>0.1]
359it [00:02, 134.80it/s, bound:0 nc:  5 ncall:9.2e+02 eff:38.8% logz=-17.28+/-0.08 dlogz:56.616>0.1]
378it [00:03, 133.55it/s, bound:0 nc:  8 ncall:9.7e+02 eff:39.0% logz=-16.54+/-0.08 dlogz:55.825>0.1]
392it [00:03, 123.49it/s, bound:0 nc:  1 ncall:1.0e+03 eff:39.0% logz=-15.94+/-0.08 dlogz:55.195>0.1]
405it [00:03, 123.99it/s, bound:0 nc:  1 ncall:1.0e+03 eff:39.1% logz=-15.39+/-0.08 dlogz:54.609>0.1]
418it [00:03, 113.36it/s, bound:0 nc:  2 ncall:1.1e+03 eff:39.5% logz=-14.91+/-0.08 dlogz:54.095>0.1]
430it [00:03, 77.04it/s, bound:0 nc:  1 ncall:1.1e+03 eff:39.7% logz=-14.53+/-0.08 dlogz:53.675>0.1] 
440it [00:03, 79.29it/s, bound:0 nc:  1 ncall:1.1e+03 eff:39.8% logz=-14.20+/-0.08 dlogz:53.326>0.1]
450it [00:03, 75.37it/s, bound:0 nc:  7 ncall:1.1e+03 eff:39.5% logz=-13.91+/-0.08 dlogz:53.007>0.1]
459it [00:04, 60.24it/s, bound:0 nc:  2 ncall:1.2e+03 eff:39.3% logz=-13.64+/-0.08 dlogz:52.717>0.1]
477it [00:04, 67.51it/s, bound:0 nc:  3 ncall:1.2e+03 eff:39.7% logz=-13.13+/-0.08 dlogz:52.153>0.1]
485it [00:04, 65.16it/s, bound:0 nc:  6 ncall:1.2e+03 eff:39.5% logz=-12.90+/-0.08 dlogz:51.908>0.1]
492it [00:04, 59.75it/s, bound:0 nc:  3 ncall:1.2e+03 eff:39.5% logz=-12.72+/-0.08 dlogz:51.705>0.1]
500it [00:04, 61.48it/s, bound:0 nc:  4 ncall:1.3e+03 eff:39.6% logz=-12.50+/-0.08 dlogz:51.471>0.1]
507it [00:05, 48.77it/s, bound:0 nc:  1 ncall:1.3e+03 eff:39.6% logz=-12.29+/-0.08 dlogz:51.247>0.1]
513it [00:05, 44.67it/s, bound:0 nc:  8 ncall:1.3e+03 eff:39.2% logz=-12.08+/-0.08 dlogz:51.029>0.1]
519it [00:05, 42.72it/s, bound:0 nc:  4 ncall:1.3e+03 eff:39.2% logz=-11.88+/-0.08 dlogz:50.807>0.1]
524it [00:05, 41.32it/s, bound:0 nc:  5 ncall:1.3e+03 eff:39.1% logz=-11.71+/-0.08 dlogz:50.627>0.1]
530it [00:05, 36.45it/s, bound:0 nc:  5 ncall:1.4e+03 eff:38.9% logz=-11.50+/-0.08 dlogz:50.406>0.1]
534it [00:05, 32.56it/s, bound:0 nc:  1 ncall:1.4e+03 eff:38.7% logz=-11.36+/-0.08 dlogz:50.251>0.1]
539it [00:06, 26.28it/s, bound:0 nc: 10 ncall:1.4e+03 eff:38.3% logz=-11.19+/-0.08 dlogz:50.067>0.1]
544it [00:06, 26.49it/s, bound:0 nc:  9 ncall:1.4e+03 eff:38.1% logz=-11.03+/-0.08 dlogz:49.892>0.1]
551it [00:06, 26.71it/s, bound:0 nc:  1 ncall:1.4e+03 eff:38.2% logz=-10.83+/-0.08 dlogz:49.670>0.1]
559it [00:06, 30.57it/s, bound:0 nc:  3 ncall:1.5e+03 eff:38.3% logz=-10.61+/-0.08 dlogz:49.432>0.1]
566it [00:07, 27.91it/s, bound:0 nc:  4 ncall:1.5e+03 eff:38.2% logz=-10.40+/-0.08 dlogz:49.204>0.1]
569it [00:07, 26.76it/s, bound:0 nc: 15 ncall:1.5e+03 eff:37.8% logz=-10.31+/-0.08 dlogz:49.107>0.1]
572it [00:07, 22.84it/s, bound:0 nc:  4 ncall:1.5e+03 eff:37.6% logz=-10.22+/-0.08 dlogz:49.011>0.1]
578it [00:07, 26.52it/s, bound:0 nc:  4 ncall:1.5e+03 eff:37.5% logz=-10.04+/-0.08 dlogz:48.816>0.1]
586it [00:07, 30.34it/s, bound:0 nc:  6 ncall:1.6e+03 eff:37.5% logz=-9.82+/-0.08 dlogz:48.569>0.1] 
591it [00:08, 31.17it/s, bound:0 nc:  4 ncall:1.6e+03 eff:37.4% logz=-9.69+/-0.08 dlogz:48.428>0.1]
597it [00:08, 30.16it/s, bound:0 nc:  3 ncall:1.6e+03 eff:37.2% logz=-9.52+/-0.08 dlogz:48.250>0.1]
601it [00:08, 26.69it/s, bound:0 nc:  3 ncall:1.6e+03 eff:36.7% logz=-9.41+/-0.08 dlogz:48.131>0.1]
604it [00:08, 24.20it/s, bound:0 nc:  4 ncall:1.7e+03 eff:36.5% logz=-9.33+/-0.08 dlogz:48.041>0.1]
607it [00:08, 20.08it/s, bound:0 nc: 12 ncall:1.7e+03 eff:36.1% logz=-9.24+/-0.08 dlogz:47.949>0.1]
614it [00:09, 25.17it/s, bound:0 nc:  6 ncall:1.7e+03 eff:36.1% logz=-9.04+/-0.08 dlogz:47.729>0.1]
621it [00:09, 24.83it/s, bound:0 nc:  2 ncall:1.7e+03 eff:36.1% logz=-8.85+/-0.09 dlogz:47.516>0.1]
627it [00:09, 25.16it/s, bound:0 nc: 19 ncall:1.8e+03 eff:35.8% logz=-8.67+/-0.09 dlogz:47.321>0.1]
630it [00:09, 20.25it/s, bound:0 nc:  7 ncall:1.8e+03 eff:35.8% logz=-8.57+/-0.09 dlogz:47.222>0.1]
639it [00:10, 25.42it/s, bound:0 nc:  3 ncall:1.8e+03 eff:35.9% logz=-8.27+/-0.09 dlogz:46.901>0.1]
646it [00:10, 25.81it/s, bound:0 nc:  3 ncall:1.8e+03 eff:35.9% logz=-8.04+/-0.09 dlogz:46.653>0.1]
654it [00:10, 28.15it/s, bound:0 nc:  6 ncall:1.8e+03 eff:35.8% logz=-7.75+/-0.09 dlogz:46.343>0.1]
659it [00:10, 24.08it/s, bound:0 nc:  1 ncall:1.8e+03 eff:35.8% logz=-7.58+/-0.09 dlogz:46.159>0.1]
663it [00:11, 20.48it/s, bound:0 nc: 15 ncall:1.9e+03 eff:35.5% logz=-7.44+/-0.09 dlogz:46.011>0.1]
666it [00:11, 17.45it/s, bound:0 nc: 11 ncall:1.9e+03 eff:35.3% logz=-7.34+/-0.09 dlogz:45.904>0.1]
668it [00:11, 13.88it/s, bound:0 nc:  3 ncall:1.9e+03 eff:35.1% logz=-7.28+/-0.09 dlogz:45.835>0.1]
672it [00:12, 11.11it/s, bound:0 nc: 12 ncall:1.9e+03 eff:34.8% logz=-7.15+/-0.09 dlogz:45.697>0.1]
675it [00:12, 10.42it/s, bound:0 nc:  9 ncall:1.9e+03 eff:34.6% logz=-7.06+/-0.09 dlogz:45.596>0.1]
679it [00:13,  9.87it/s, bound:0 nc:  2 ncall:2.0e+03 eff:34.6% logz=-6.93+/-0.09 dlogz:45.461>0.1]
685it [00:13, 10.52it/s, bound:0 nc:  9 ncall:2.0e+03 eff:34.5% logz=-6.75+/-0.09 dlogz:45.263>0.1]
689it [00:14,  9.39it/s, bound:0 nc: 11 ncall:2.0e+03 eff:34.4% logz=-6.64+/-0.09 dlogz:45.137>0.1]
694it [00:14,  8.28it/s, bound:0 nc:  7 ncall:2.0e+03 eff:34.3% logz=-6.50+/-0.09 dlogz:44.982>0.1]
696it [00:15,  5.74it/s, bound:0 nc: 16 ncall:2.0e+03 eff:34.1% logz=-6.44+/-0.09 dlogz:44.923>0.1]
698it [00:16,  4.82it/s, bound:0 nc: 12 ncall:2.1e+03 eff:33.8% logz=-6.39+/-0.09 dlogz:44.863>0.1]
703it [00:16,  6.25it/s, bound:0 nc:  4 ncall:2.1e+03 eff:33.8% logz=-6.25+/-0.09 dlogz:44.714>0.1]
708it [00:17,  8.11it/s, bound:0 nc:  7 ncall:2.1e+03 eff:33.7% logz=-6.12+/-0.09 dlogz:44.566>0.1]
711it [00:17,  7.10it/s, bound:0 nc:  9 ncall:2.1e+03 eff:33.4% logz=-6.03+/-0.09 dlogz:44.477>0.1]
713it [00:18,  5.36it/s, bound:0 nc: 11 ncall:2.1e+03 eff:33.3% logz=-5.98+/-0.09 dlogz:44.419>0.1]
716it [00:19,  4.26it/s, bound:0 nc: 18 ncall:2.2e+03 eff:33.0% logz=-5.90+/-0.09 dlogz:44.334>0.1]
720it [00:20,  5.19it/s, bound:0 nc:  2 ncall:2.2e+03 eff:33.0% logz=-5.80+/-0.09 dlogz:44.221>0.1]
726it [00:20,  7.44it/s, bound:0 nc:  3 ncall:2.2e+03 eff:33.0% logz=-5.64+/-0.09 dlogz:44.048>0.1]
730it [00:20,  9.06it/s, bound:0 nc: 19 ncall:2.2e+03 eff:32.7% logz=-5.54+/-0.09 dlogz:43.933>0.1]
733it [00:21,  9.39it/s, bound:0 nc:  3 ncall:2.2e+03 eff:32.7% logz=-5.46+/-0.09 dlogz:43.848>0.1]
737it [00:21, 10.92it/s, bound:0 nc:  1 ncall:2.3e+03 eff:32.6% logz=-5.36+/-0.09 dlogz:43.738>0.1]
740it [00:21, 10.82it/s, bound:0 nc: 14 ncall:2.3e+03 eff:32.3% logz=-5.29+/-0.09 dlogz:43.657>0.1]
