
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-742.86+/-0.13 dlogz:inf>0.1]
12it [00:01, 39.76it/s, bound:0 nc:  3 ncall:4.2e+02 eff:2.8% logz=-137.09+/-0.13 dlogz:191.529>0.1]
19it [00:01, 31.28it/s, bound:0 nc:  8 ncall:4.4e+02 eff:4.3% logz=-103.64+/-0.12 dlogz:146.197>0.1]
29it [00:01, 31.47it/s, bound:0 nc:  2 ncall:4.6e+02 eff:6.3% logz=-79.59+/-0.11 dlogz:121.679>0.1] 
38it [00:02, 22.03it/s, bound:0 nc:  3 ncall:4.8e+02 eff:7.9% logz=-64.06+/-0.11 dlogz:105.969>0.1]
46it [00:02, 21.49it/s, bound:0 nc:  5 ncall:5.0e+02 eff:9.2% logz=-54.23+/-0.11 dlogz:96.191>0.1] 
52it [00:03, 20.08it/s, bound:0 nc:  4 ncall:5.2e+02 eff:9.9% logz=-47.50+/-0.11 dlogz:89.442>0.1]
61it [00:03, 21.38it/s, bound:0 nc:  4 ncall:5.4e+02 eff:11.3% logz=-38.08+/-0.12 dlogz:80.455>0.1]
69it [00:03, 20.80it/s, bound:0 nc:  7 ncall:5.6e+02 eff:12.3% logz=-33.93+/-0.11 dlogz:75.933>0.1]
78it [00:04, 22.61it/s, bound:0 nc:  1 ncall:5.8e+02 eff:13.4% logz=-29.84+/-0.10 dlogz:71.562>0.1]
87it [00:04, 26.03it/s, bound:0 nc:  3 ncall:6.0e+02 eff:14.5% logz=-26.04+/-0.10 dlogz:67.810>0.1]
98it [00:04, 29.87it/s, bound:0 nc:  3 ncall:6.2e+02 eff:15.8% logz=-20.14+/-0.10 dlogz:61.655>0.1]
107it [00:04, 29.31it/s, bound:0 nc:  1 ncall:6.4e+02 eff:16.7% logz=-16.48+/-0.10 dlogz:58.113>0.1]
114it [00:05, 28.68it/s, bound:0 nc:  7 ncall:6.7e+02 eff:17.1% logz=-13.89+/-0.10 dlogz:55.446>0.1]
