
1it [00:00, ?it/s]
1it [00:01, ?it/s, bound:0 nc:  1 ncall:4.0e+02 eff:0.2% logz=-364.83+/-0.13 dlogz:inf>0.1]
9it [00:01, 40.58it/s, bound:0 nc:  1 ncall:4.2e+02 eff:2.1% logz=-245.26+/-0.13 dlogz:293.471>0.1]
17it [00:01, 42.37it/s, bound:0 nc:  2 ncall:4.4e+02 eff:3.8% logz=-145.13+/-0.12 dlogz:187.995>0.1]
23it [00:01, 41.60it/s, bound:0 nc: 10 ncall:4.6e+02 eff:5.0% logz=-129.16+/-0.12 dlogz:170.741>0.1]
29it [00:02, 41.71it/s, bound:0 nc:  4 ncall:4.8e+02 eff:6.0% logz=-108.36+/-0.12 dlogz:149.571>0.1]
39it [00:02, 49.96it/s, bound:0 nc:  4 ncall:5.0e+02 eff:7.8% logz=-94.02+/-0.12 dlogz:135.993>0.1] 
44it [00:02, 47.26it/s, bound:0 nc:  4 ncall:5.2e+02 eff:8.4% logz=-87.99+/-0.11 dlogz:129.059>0.1]
53it [00:02, 54.82it/s, bound:0 nc:  7 ncall:5.5e+02 eff:9.7% logz=-83.60+/-0.10 dlogz:124.255>0.1]
59it [00:02, 51.66it/s, bound:0 nc:  1 ncall:5.6e+02 eff:10.5% logz=-78.37+/-0.11 dlogz:119.519>0.1]
75it [00:02, 58.59it/s, bound:0 nc:  5 ncall:6.0e+02 eff:12.5% logz=-61.08+/-0.11 dlogz:101.715>0.1]
90it [00:03, 65.36it/s, bound:0 nc:  4 ncall:6.4e+02 eff:14.0% logz=-55.17+/-0.10 dlogz:95.616>0.1] 
99it [00:03, 69.68it/s, bound:0 nc:  1 ncall:6.6e+02 eff:15.0% logz=-50.17+/-0.11 dlogz:90.929>0.1]
110it [00:03, 76.43it/s, bound:0 nc:  2 ncall:6.8e+02 eff:16.1% logz=-46.13+/-0.10 dlogz:86.453>0.1]
126it [00:03, 84.05it/s, bound:0 nc:  4 ncall:7.2e+02 eff:17.5% logz=-40.88+/-0.10 dlogz:81.212>0.1]
139it [00:03, 82.00it/s, bound:0 nc:  1 ncall:7.6e+02 eff:18.3% logz=-36.51+/-0.10 dlogz:76.714>0.1]
155it [00:03, 85.37it/s, bound:0 nc:  6 ncall:8.0e+02 eff:19.4% logz=-31.94+/-0.10 dlogz:72.393>0.1]
164it [00:03, 85.74it/s, bound:0 nc:  9 ncall:8.2e+02 eff:19.9% logz=-28.53+/-0.10 dlogz:68.721>0.1]
173it [00:03, 86.17it/s, bound:0 nc:  2 ncall:8.5e+02 eff:20.3% logz=-26.14+/-0.10 dlogz:66.371>0.1]
182it [00:04, 85.79it/s, bound:0 nc:  1 ncall:8.7e+02 eff:20.8% logz=-24.18+/-0.10 dlogz:64.242>0.1]
191it [00:04, 66.36it/s, bound:0 nc:  2 ncall:9.0e+02 eff:21.2% logz=-22.93+/-0.09 dlogz:62.951>0.1]
201it [00:04, 59.94it/s, bound:0 nc:  3 ncall:9.4e+02 eff:21.3% logz=-21.27+/-0.10 dlogz:61.233>0.1]
208it [00:04, 61.98it/s, bound:0 nc:  5 ncall:9.7e+02 eff:21.4% logz=-20.44+/-0.09 dlogz:60.378>0.1]
219it [00:04, 60.04it/s, bound:0 nc:  7 ncall:1.0e+03 eff:21.8% logz=-18.88+/-0.09 dlogz:58.792>0.1]
226it [00:04, 61.48it/s, bound:0 nc:  7 ncall:1.0e+03 eff:21.9% logz=-17.78+/-0.10 dlogz:57.731>0.1]
236it [00:05, 56.77it/s, bound:0 nc: 15 ncall:1.1e+03 eff:22.1% logz=-15.84+/-0.10 dlogz:55.755>0.1]
248it [00:05, 55.53it/s, bound:0 nc:  3 ncall:1.1e+03 eff:22.5% logz=-13.84+/-0.10 dlogz:53.699>0.1]
255it [00:05, 55.42it/s, bound:0 nc:  5 ncall:1.1e+03 eff:22.7% logz=-12.95+/-0.10 dlogz:52.789>0.1]
261it [00:05, 47.98it/s, bound:0 nc:  2 ncall:1.1e+03 eff:22.8% logz=-12.17+/-0.10 dlogz:52.521>0.1]
267it [00:05, 49.51it/s, bound:0 nc:  2 ncall:1.2e+03 eff:23.0% logz=-11.37+/-0.10 dlogz:51.691>0.1]
273it [00:05, 51.20it/s, bound:0 nc:  6 ncall:1.2e+03 eff:23.0% logz=-10.57+/-0.10 dlogz:50.902>0.1]
279it [00:05, 52.96it/s, bound:0 nc:  3 ncall:1.2e+03 eff:23.1% logz=-9.81+/-0.10 dlogz:50.086>0.1] 
285it [00:06, 53.76it/s, bound:0 nc:  2 ncall:1.2e+03 eff:23.1% logz=-9.25+/-0.09 dlogz:49.490>0.1]
292it [00:06, 47.10it/s, bound:0 nc: 18 ncall:1.3e+03 eff:23.0% logz=-8.71+/-0.09 dlogz:48.915>0.1]
297it [00:06, 36.99it/s, bound:0 nc:  7 ncall:1.3e+03 eff:22.7% logz=-8.34+/-0.09 dlogz:48.540>0.1]
303it [00:06, 36.72it/s, bound:0 nc: 10 ncall:1.3e+03 eff:22.6% logz=-7.93+/-0.09 dlogz:48.107>0.1]
310it [00:06, 38.82it/s, bound:0 nc:  3 ncall:1.4e+03 eff:22.4% logz=-7.41+/-0.09 dlogz:47.586>0.1]
