
1it [00:00, ?it/s]
1it [00:00, ?it/s, bound:0 nc:  4 ncall:4.0e+02 eff:0.2% logz=-597.52+/-0.13 dlogz:inf>0.1]
18it [00:00, 114.55it/s, bound:0 nc:  2 ncall:4.4e+02 eff:4.1% logz=-170.01+/-0.12 dlogz:213.828>0.1]
32it [00:00, 98.96it/s, bound:0 nc:  2 ncall:4.8e+02 eff:6.6% logz=-136.03+/-0.13 dlogz:180.111>0.1] 
50it [00:01, 119.44it/s, bound:0 nc:  3 ncall:5.2e+02 eff:9.6% logz=-109.79+/-0.12 dlogz:152.127>0.1]
67it [00:01, 123.37it/s, bound:0 nc:  4 ncall:5.6e+02 eff:11.9% logz=-93.84+/-0.11 dlogz:135.241>0.1]
84it [00:01, 114.22it/s, bound:0 nc:  3 ncall:6.0e+02 eff:14.0% logz=-84.09+/-0.11 dlogz:125.525>0.1]
97it [00:01, 107.60it/s, bound:0 nc:  2 ncall:6.4e+02 eff:15.1% logz=-77.39+/-0.11 dlogz:118.996>0.1]
109it [00:01, 108.40it/s, bound:0 nc:  4 ncall:6.6e+02 eff:16.4% logz=-72.51+/-0.10 dlogz:113.833>0.1]
120it [00:01, 97.96it/s, bound:0 nc: 12 ncall:7.1e+02 eff:16.8% logz=-69.10+/-0.10 dlogz:110.563>0.1] 
130it [00:01, 80.69it/s, bound:0 nc:  3 ncall:7.5e+02 eff:17.4% logz=-66.53+/-0.10 dlogz:107.627>0.1]
143it [00:02, 80.35it/s, bound:0 nc:  6 ncall:7.8e+02 eff:18.3% logz=-62.72+/-0.11 dlogz:104.125>0.1]
159it [00:02, 83.86it/s, bound:0 nc:  2 ncall:8.2e+02 eff:19.4% logz=-58.53+/-0.10 dlogz:99.626>0.1] 
168it [00:02, 78.48it/s, bound:0 nc:  5 ncall:8.5e+02 eff:19.7% logz=-56.09+/-0.10 dlogz:97.215>0.1]
176it [00:02, 64.37it/s, bound:0 nc:  2 ncall:8.8e+02 eff:20.1% logz=-52.39+/-0.11 dlogz:93.975>0.1]
183it [00:02, 46.43it/s, bound:0 nc:  1 ncall:9.0e+02 eff:20.3% logz=-49.78+/-0.10 dlogz:90.827>0.1]
189it [00:03, 48.32it/s, bound:0 nc:  6 ncall:9.3e+02 eff:20.4% logz=-48.39+/-0.10 dlogz:89.429>0.1]
195it [00:03, 42.04it/s, bound:0 nc:  5 ncall:9.4e+02 eff:20.6% logz=-47.25+/-0.10 dlogz:88.252>0.1]
202it [00:03, 39.07it/s, bound:0 nc:  6 ncall:9.6e+02 eff:21.0% logz=-45.98+/-0.10 dlogz:86.960>0.1]
